,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,scenario,participant_id,source_file
31278,31278,981.7685994779713,1568811277.9756668,981.7685994779713,-94.56289060555714,,594.7709465760304,175.82585342613342,735.5101129385707,0.9985655546188354,573.2695407741003,208.54477140879112,757.8501392960939,0.9976592063903807,589.8473336631898,150.25183162691894,772.5570693160347,0.9961901903152466,526.3858092817985,244.1455642850192,744.8584641970848,0.6733840107917786,521.8296810692236,104.22957523346079,762.8294934680424,0.9805799722671508,482.2491750858329,281.68402725350836,606.957255213118,0.9610453844070436,510.8476554602577,24.12346564441535,621.9364496277677,0.9907862544059752,579.5580888475845,336.5217419296914,385.6249094270125,0.5516578555107117,572.9244795723102,-88.81214489466318,387.1222084624605,0.4917131066322327,809.4042480250148,349.11765461724787,260.3115161811406,0.6474379301071167,793.6774267221173,-101.7942409630364,266.53744673069974,0.461019366979599,436.48037798204126,200.00598958610541,224.89567483309241,0.01627257466316223,426.8480033977546,6.357774209024456,204.47659250362045,0.12290632724761966,690.5775493877867,262.24803472979573,111.10490721562657,0.12953999638557434,868.6450499474048,-1.1023655575048528,197.22021574855785,0.5369868874549866,431.38383120117135,247.2811468967611,-531.019963203006,0.005418211221694946,586.2607986454112,-44.56847561075733,-432.94091447285246,0.022395193576812744,1756.3631400522027,2032.7338180684947,3.7631400522028575,357.3048795823771,872.9801963458,2094.5,6.978599477971422,90.06,857.8833363980028,2094.51,6.92,90.06,1760.66,1153.5512041762286,7.976859947797142,179.85,843.9101963457998,2094.53,6.975700261014287,90.06,546.0850759281772,2094.666859947797,7.799420156608572,89.67,331.64797514513424,2093.618840313217,9.393140052202858,93.56,1749.5468599477972,2188.6915431843745,6.064058903739989,178.81,1748.7537198955945,2227.148643967417,7.444638747131416,178.81,,,,,1a,19,1568810250
31279,31279,981.8,1568811278.0070164,981.8,-94.56289060555714,,594.0485929790112,176.65921385032757,736.4316255325333,0.9983243346214294,569.5487869270097,208.7945035830357,757.9776228856613,0.997871994972229,581.3085401827358,151.7925237262713,770.2635277813222,0.9959992170333862,512.726535132551,245.51283459432912,740.4603635493378,0.6418226957321167,517.6903406300644,103.8997939716818,761.3951956887672,0.9797553420066832,486.95794978567847,281.5367759865692,607.1242710075171,0.9611443281173706,503.49172855999353,24.667598959966888,618.3405990424393,0.990617036819458,582.3334068218128,336.69335073386617,386.895226606934,0.5188149213790894,572.1913537998563,-88.52558727302475,386.9509465841712,0.4958478212356568,808.122989036082,349.8962564524362,258.08737780327044,0.7401118874549866,782.2354956332715,-101.98374462509544,272.83975573671404,0.3780028223991394,430.99766619059164,200.2499925378092,222.91743287829982,0.014372199773788454,429.3533100342231,6.362009564504612,208.00446108669084,0.10104510188102722,687.2660713018512,264.15604175993525,108.96931933948608,0.1911097466945648,848.1864118614391,8.661441803911796,180.6262506237886,0.5721278190612793,386.5451791035477,271.16563745828364,-565.9574093346878,0.0047144293785095215,,,,0.017464816570281982,1756.36,2032.85,3.76,357.33,873.2,2094.5,7.01,90.06,858.1,2094.51,6.92,90.06,1760.66,1153.3,7.98,179.85,844.13,2094.53,6.96,90.06,546.33,2094.67,7.79,89.67,331.94,2093.6,9.39,93.56,1749.55,2188.5,6.13,178.81,1748.76,2226.91,7.52,178.81,,,,,1a,19,1568810250
31280,31280,981.8336253787204,1568811278.0407536,981.8336253787204,-94.56289060555714,,594.170238412808,175.75709915601632,736.1639581282616,0.9986392259597778,567.1376014798017,208.50707201092428,757.0927771306116,0.9979397058486938,582.6105890853685,151.2138780430005,770.6721378435337,0.9961035251617432,509.98225112262116,246.3768137043664,739.3411830870468,0.6962543725967407,515.6629460709862,103.80428451291849,760.6129925313362,0.979206919670105,490.92422628875846,280.1074302888763,610.1617203528797,0.9548111557960508,506.2363229906483,25.712980051785998,622.0723241633104,0.9913944005966188,585.0623219729226,335.6886604706458,387.4448768121412,0.5453788638114929,578.7386885339987,-87.51083008764726,391.5430803252906,0.495079517364502,800.1359096625763,350.33679143213374,249.72159111899487,0.6913143396377563,775.9929143844247,-103.28501979923513,272.21105762770753,0.4189872741699219,422.8963344595819,201.40630550978062,217.44428746662044,0.014929026365280153,424.7390251461491,6.070150749232173,203.90974342999257,0.1160462200641632,697.2347940248218,262.0149455572645,113.90201404878552,0.14943870902061462,865.7136727586951,0.18252771693334052,194.5709230150457,0.5679394602775574,404.0856202801249,276.1320726977689,-535.7024647963599,0.003602713346481323,614.9246794101742,-46.198137026366815,-404.360818445914,0.0157892107963562,1756.353274924256,2032.9777764391367,3.753274924255936,357.3569003029762,873.4320151131703,2094.5,6.969649545535612,90.06,858.3387401889141,2094.51,6.960350454464388,90.06,1760.6633625378722,1153.0309969702373,8.000175227232194,179.85,844.3653776510422,2094.53,6.963362537872032,90.06,546.5922779540185,2094.67,7.793362537872032,89.67,332.25607855997106,2093.579824772768,9.396725075744065,93.56,1749.553362537872,2188.30161026555,6.049299091071224,178.81,1748.763362537872,2226.6678972732134,7.425848939583097,178.81,,,,,1a,19,1568810250
31281,31281,981.8665846848453,1568811278.0738225,981.8665846848453,-93.2669481315672,,594.4273760247378,176.77657963176517,735.681469788827,0.9986040592193604,561.6291088307537,209.90887602949402,754.1330871911975,0.9976804256439208,584.9208954248269,151.64309534952073,770.4921982931528,0.9963760972023008,509.30727138856,246.60295943027032,739.488721655852,0.6730179786682129,517.4023589414281,104.12514646135969,760.9956468141612,0.9800541400909424,491.09252578267706,280.1293897182422,610.6697806572806,0.9565805196762084,502.2433427798612,25.64802368510823,620.1763091017483,0.9901225566864014,588.7371869600987,335.9524209422358,389.7924284087066,0.5052577257156372,583.9709877302844,-86.87402440791409,393.75411927039255,0.4601720869541168,801.0515072613232,351.46813327633413,250.667144447061,0.6764246225357056,792.9768264176793,-100.78832608794052,264.7400333076798,0.5016503930091858,430.7589693003707,200.88204819655726,223.48594465141707,0.01367497444152832,435.2900554281447,6.614108786573701,211.3139998268541,0.11731311678886415,695.6960205300643,262.614594678853,112.36198010225814,0.1052963137626648,866.9975826838554,-2.9990416410549185,199.7453422539789,0.5463742613792419,342.93499548737265,288.2102349139704,-645.0780168668864,0.003969341516494751,617.259101127011,-40.11808422126635,-400.5063027551713,0.01926732063293457,1756.346683063031,2033.103021802412,3.746683063030958,357.38326774787623,873.6594343254318,2094.5,6.9300983781857495,90.06,858.572751262401,2094.51,6.999901621814251,90.06,1760.666658468485,1152.7673225212386,8.019950810907126,179.85,844.5960927939165,2094.53,6.966658468484521,90.06,546.8493605417926,2094.67,7.796658468484521,89.67,332.56589603754503,2093.5600491890928,9.403316936969043,93.56,1749.5566584684846,2188.107150359413,5.970196756371497,178.81,1748.7666584684846,2226.4305902691144,7.333562882433412,178.81,,,,,1a,19,1568810250
31282,31282,981.9,1568811278.107349,981.9,-93.2669481315672,,594.4051328821155,177.07076231417992,735.7264145980491,0.9986131191253662,566.7564929372578,209.78652356281486,756.676101917812,0.997538149356842,584.6325989789073,151.9988716625235,771.303423708933,0.996773600578308,512.9951168285638,246.1867094463137,740.8992580054658,0.6615481376647949,519.526732177477,103.67125718247708,762.2129482322946,0.98175847530365,489.976280990094,281.55521655241745,612.8721556439323,0.9564229249954224,505.9520364151789,26.258302446887217,622.5756549108883,0.9894257187843324,585.9098694082736,336.3411269361808,389.62268660390174,0.500571608543396,584.7298987753361,-85.58395523485821,395.79914124388114,0.5254021883010864,799.409269385171,353.8017873475593,254.367418841697,0.8560726642608643,791.1429720367319,-101.43911400819245,254.23644463531537,0.4659078121185303,425.1269381753838,200.83375796994247,221.44840702150833,0.016249328851699833,439.93530495819687,6.0632432305746295,213.81694027472145,0.11702072620391844,690.2697135475782,263.44724190474307,107.81436959513884,0.1555556058883667,866.9968596016413,6.316938960581886,198.3868505398784,0.5806441307067871,370.92066411696925,287.5645787631346,-589.950321955391,0.0038110017776489258,,,,0.014980316162109375,1756.34,2033.23,3.74,357.41,873.89,2094.5,6.89,90.06,858.81,2094.51,7.04,90.06,1760.67,1152.5,8.04,179.85,844.83,2094.53,6.97,90.06,547.11,2094.67,7.8,89.67,332.88,2093.54,9.41,93.56,1749.56,2187.91,5.89,178.81,1748.77,2226.19,7.24,178.81,,,,,1a,19,1568810250
31283,31283,981.9330241714816,1568811278.140584,981.9330241714816,-91.96033115561741,,587.2675543465848,176.57172372892947,733.1477779249576,0.998729944229126,569.1995614928155,209.93798780335086,757.8253854332067,0.9976853132247924,580.3536794666971,151.4243865272743,771.3861470604209,0.99675053358078,520.2403513708222,246.5137089471912,744.2638123401605,0.6538796424865723,524.4386183806057,104.06169778641399,766.2525099161574,0.9809821844100952,492.0811341082972,281.8340404801212,608.8713849923106,0.9495968222618104,506.5912603998467,26.66011784485548,621.969286194578,0.988701105117798,591.3394104403341,336.1278139991846,393.7017350769788,0.4932363629341126,575.0224342657433,-87.17582899117426,389.3938204506279,0.5201432108879089,796.1551139635714,355.1725517184491,253.0492014505173,0.8560231328010559,779.239433346976,-101.52805998823182,265.7214822123841,0.3942834734916687,420.0607720314615,201.57675671834858,217.10690357207085,0.014290720224380491,435.4566172839873,9.51683297176957,210.5311783883754,0.13307273387908936,692.6160899193442,263.662720767996,110.3242786296112,0.14378109574317932,866.0385440585758,0.3871560138851082,199.83988840984298,0.5272504687309265,379.926667681876,287.66917981877066,-567.8668974924851,0.0039688050746917725,598.3723655614226,-41.92465179954165,-420.1223037516278,0.01276734471321106,1756.3366975828515,2033.3521894344824,3.7366975828518236,357.4397217543337,874.1178667832241,2094.5,6.893302417148175,90.06,859.0345643660761,2094.51,6.987161325629178,90.06,1760.67,1152.2325042109978,8.046604834296351,179.85,845.0611692003723,2094.53,6.9898145028890575,90.06,547.3675885375577,2094.67,7.8198145028890576,89.67,333.1937296290768,2093.520185497111,9.42981450288906,93.56,1749.5666048342962,2187.708552553961,5.969258011556232,178.81,1748.7766048342962,2225.945621131035,7.296141091518997,178.81,,,,,1a,19,1568810250
31284,31284,981.9662016209084,1568811278.1739733,981.9662016209084,-92.23519932192976,,597.5962481064278,177.79391078232769,736.7611967042799,0.9987672567367554,569.1449651501081,210.12651402712086,758.2843926424423,0.9974856376647948,588.2753098482333,152.44348095059132,773.9884176533137,0.9968832731246948,522.8188037817681,245.06532441172104,742.6948088011508,0.6235077381134033,526.2163806528093,105.05005903154064,763.7821388130777,0.983113706111908,488.0987443063877,282.94640890510425,606.6064082001624,0.9417896270751952,500.9899737439631,26.03273178321371,622.6101422189972,0.988328456878662,596.9524977844701,335.21737622498983,398.47244314179983,0.467998743057251,579.0907264173177,-86.92072925007868,393.25267723270036,0.5483815670013428,799.6771435265656,351.38852532626646,252.649648201572,0.7355368137359619,778.1652119863546,-102.46114589840168,271.78961763670884,0.355171263217926,418.4194054362108,202.4558772384592,213.88038717732516,0.014674812555313109,439.7922682696086,11.132542195864874,213.8102237866044,0.10178661346435547,690.1282666918512,262.11977876456217,111.30632549295672,0.19472938776016235,841.6347895618089,-0.0028109496547683572,182.52256563029442,0.5485897064208984,381.2180337083143,288.1228542456621,-562.8146010606754,0.005118966102600098,603.5931602008827,-38.83470619275684,-416.52089274285095,0.01609337329864502,1756.333379837909,2033.4749459973611,3.7333798379091636,357.4695814588175,874.3467911842678,2094.5,6.896620162090835,90.06,859.2601710221768,2094.51,6.934077406546629,90.06,1760.67,1151.9637668706425,8.053240324181672,179.85,845.2934113463585,2094.53,7.009720972545015,90.06,547.6263726430851,2094.67,7.839720972545015,89.67,333.50891539862937,2093.5002790274552,9.449720972545016,93.56,1749.5732403241816,2187.506170112459,6.04888389018006,178.81,1748.7832403241814,2225.7001080052787,7.352542755544209,178.81,,,,,1a,19,1568810250
31285,31285,982.0,1568811278.2079875,982.0,-91.8927456708144,,596.0312582324456,181.13993689165252,733.0972282969102,0.9982588291168212,557.6249676127154,215.5011991217072,754.0188950814038,0.99888676404953,583.9616388230818,152.50807432049984,773.2151015784053,0.9904040098190308,525.4254066536884,245.80107069581763,745.1729833012921,0.6071123480796814,526.6676053595128,105.18459997604884,762.9847731991043,0.985633373260498,491.8182951531807,283.3227346213438,608.532752907101,0.9337692260742188,505.69801211488226,26.74396275556437,623.0562801953638,0.9868948459625244,593.6749498549082,336.3435723822142,397.18926357772835,0.4735546708106994,573.1969331514954,-88.14863322607641,389.4080046455178,0.5338177680969238,789.9160623067082,359.7577978892892,261.15301891755627,0.2423609495162964,769.8001018184572,-103.27955865147324,267.988853582042,0.3964344263076782,426.00274023738564,203.12415682899208,218.8339609579591,0.012462973594665527,432.39586722188005,11.42831155314282,208.97494731092098,0.10342299938201904,695.0492958764938,263.55217789930373,114.88528553404043,0.1651933193206787,857.1155306699898,-1.5670324167108654,195.24522631606368,0.5662617683410645,380.99033881012656,288.05980607726826,-558.9464336432683,0.004124104976654053,606.3463057407586,-37.36717022039964,-411.43281547614373,0.025928467512130737,1756.33,2033.6,3.73,357.5,874.58,2094.5,6.9,90.06,859.49,2094.51,6.88,90.06,1760.67,1151.69,8.06,179.85,845.53,2094.53,7.03,90.06,547.89,2094.67,7.86,89.67,333.83,2093.48,9.47,93.56,1749.58,2187.3,6.13,178.81,1748.79,2225.45,7.41,178.81,,,,,1a,19,1568810250
31286,31286,982.0328517415406,1568811278.2407804,982.0328517415406,-83.64555368329411,,592.932741649377,185.61097622032028,730.5511329022763,0.9980813264846802,552.159193399213,220.6274700375809,752.7804862575285,0.9990508556365968,583.4645316086933,156.35859787515506,773.6213859047816,0.9924778342247008,506.5686187311353,249.7962653570777,738.7172276181416,0.5424400568008423,525.3070574279492,101.44184908928922,765.5459122157413,0.6257760524749756,485.0485904568756,284.5620330948791,602.710422590284,0.916252851486206,505.0019060668212,28.84971599100769,625.013883463042,0.9871802926063538,597.4185808628066,341.6848871148315,402.4107987617507,0.2936531901359558,571.752324752203,-87.4071225798695,388.3549458308028,0.5842560529708862,801.7761096114302,355.6063114027705,258.22442259141025,0.8704167604446411,770.0234773408822,-101.95699373877224,269.1128946422646,0.3631927371025085,421.39342496514547,217.09266065111345,254.54660547161672,0.7955497503280641,438.272422059053,13.646880852953027,213.10244841456924,0.0539916455745697,706.7383233001669,264.631153229404,115.53776372787344,0.5637345314025879,855.6477990835492,-1.671577572637333,193.12290142429325,0.5414372682571411,387.6375388582258,284.5516217170118,-549.0807884578521,0.004719525575637817,605.1551878695379,-35.86546952476984,-412.79514653048767,0.02461728453636169,1756.3234296516919,2033.721551443701,3.726714825845925,357.52628139323264,874.8066770166313,2094.4967148258456,6.9,90.06,859.7199621907852,2094.51,6.9062813932325975,90.06,1760.67,1151.4304712418284,8.033718606767405,179.85,845.7566770166312,2094.53,6.987292735997031,90.06,548.1495287581719,2094.673285174154,7.8501444775377776,89.67,334.1355211963289,2093.4701444775383,9.44700378092148,93.43516338214519,1749.583285174154,2187.1061747249096,6.038015123685912,178.81,1748.793285174154,2225.2134674609065,7.3377261686103585,178.81,,,,,1a,19,1568810250
31287,31287,982.0711429465393,1568811278.2790036,982.0711429465393,-95.54847230848962,,593.2214085461521,189.91416399599623,729.5237210655174,0.9975703358650208,551.4077283258623,222.75087732858128,753.5240982716838,0.9991836547851562,583.8358048654441,160.39302224120522,772.9137224326047,0.9946603775024414,506.37813364441536,251.45329932200644,739.358390449349,0.4399595856666565,522.3845426792366,100.83682108303921,763.9214261959752,0.7378469109535217,482.8225838570217,282.2820200776878,605.1657287513613,0.9325954914093018,508.9823945007962,28.098176492939032,625.507431051142,0.9862676858901978,594.0580808536646,338.70274035809337,397.9111159477311,0.4503233432769776,575.7946090698788,-86.5276920853481,389.6299688005876,0.5508288741111755,793.6299150962471,357.06199687284777,251.20551223519607,0.8618096113204956,769.2395225826524,-101.91749430945343,267.2766567260853,0.4320198297500609,425.2231389215119,209.6729657571344,234.31496000474186,0.01778295636177063,437.6749826989543,11.19728013027492,212.39694285262212,0.11252212524414062,703.4394962668064,264.08497763998605,113.1789934266926,0.13965800404548645,863.4370626180412,-3.4699392869299435,199.49730980749715,0.6612985134124756,354.19333080816415,291.42564437181716,-632.4465150217547,0.005653589963912964,600.5307360784608,-35.712280407179065,-415.0660422050378,0.021717548370361328,1756.3157714106922,2033.863228902195,3.7228857053460787,357.5569143572313,875.0708863311205,2094.492885705346,6.9,90.06,859.9880006257746,2094.51,6.936914357231367,90.06,1760.67,1151.1279707223405,8.003085642768633,179.85,846.0208863311206,2094.53,6.937514169499027,90.06,548.4520292776597,2094.6771142946536,7.838657116038238,89.67,334.4916294028146,2093.458657116038,9.420199937422554,93.28965680315099,1749.587114294654,2186.8802566154186,5.930799749690213,178.81,1748.797114294654,2224.9377707849176,7.253485517613739,178.81,,,,,1a,19,1568810250
