,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,scenario,participant_id,source_file
31564,31564,987.5,1568282082.2606153,987.5,-88.56934777425327,624.279881897788,107.34949855644804,632.7652425401153,0.009265542030334473,630.962462286187,151.97096288630502,661.3797079495503,0.9694663882255554,661.6748850151048,93.43138399019308,673.5899070373005,0.9345399141311646,618.0146798230057,189.1992757657116,688.4423425608827,0.2610689103603363,644.6955910674459,43.9463336687424,713.368960134482,0.7072454690933228,469.275432714225,231.7279440323076,560.1834139460386,0.9414157867431641,482.1142664580738,-40.6142772293948,563.8496946425178,0.06378465890884401,590.1784777009639,284.7844875120867,364.5101692173802,0.4134159684181213,604.6276553717921,-157.06704671411688,353.7011682818882,0.9876760840415956,756.5928476919429,317.0399924552044,211.43180477934803,0.39891171455383295,766.4165414800792,-169.01325974549601,206.50941848346542,0.8424526453018188,401.3610234776395,161.583940218887,195.8609722215746,0.01573619246482849,404.9453012730998,-30.51502161981552,198.41637190629712,0.7671486139297485,646.0583091479916,204.86463433261392,77.62511416404006,0.7883839607238771,777.3546469953342,-67.012748564891,93.65177958309692,0.8075432777404785,315.59219785421817,187.24650217778904,-594.132303491087,0.030496031045913693,442.43674461184537,-85.67644217745297,-583.6830994357599,0.0346890389919281,1241.95,2100.26,6.2,269.27,1598.15,2094.76,8.83,90.57,1335.05,2096.98,8.02,89.86,1320.05,2096.94,7.98,89.86,1760.35,1275.08,8.18,179.85,1760.3,1291.8,8.2,179.85,1759.24,1529.32,6.23,179.28,921.31,2094.44,7.68,90.06,897.72,2094.47,8.06,90.06,875.71,2094.49,8.31,90.06,686.0,2094.7,7.09,90.06,1369.76,1979.1,7.31,178.75,220.09,2104.13,8.56,102.2,1d,8,1568281044
31565,31565,987.5335017813256,1568282082.2941554,987.5335017813256,-100.87317724127956,637.8528998928282,105.39124617904152,642.2261943370281,0.005521595478057861,617.4412336942313,155.19536532601273,647.9469557544189,0.9654605984687804,669.4188487925421,92.60538022693792,671.9990164452975,0.9284920692443848,618.365363930143,190.41816601263127,683.0746838608031,0.2502511739730835,641.4604469907073,46.65638472894029,708.7081109574068,0.7327958345413208,477.3569785416197,237.77274954122657,562.251575545647,0.9564226865768432,490.97076732654745,-42.27107590136123,559.1809496667826,0.0750616192817688,595.3481812596987,295.58334472881893,366.2725532805365,0.9392671585083008,603.8913787812844,-153.70304099580412,356.44831056703435,0.988125205039978,751.0700553849817,316.49854819111664,207.31535223309345,0.9291831851005554,768.7465016462453,-169.91749009546038,208.89551259521969,0.8428102731704712,410.28934002005053,170.1331044878549,199.6964487081432,0.06880360841751099,390.197609058858,-30.902274675163888,196.6531991457359,0.803814172744751,655.3002785911196,207.94619771301296,80.07218432413771,0.6198316216468811,815.6325236331767,-62.28530497453771,123.7785681948066,0.7615106105804443,314.8527529693984,180.89751094550357,-618.0197676947822,0.009456455707550049,430.70788548158964,-87.25321953573753,-602.0375995051695,0.01815187931060791,1241.7422889557809,2100.2566498218675,6.2134007125302535,269.20969679361383,1598.4481658537982,2094.7566498218675,8.85010106879538,90.57,1335.318014250605,2096.98,8.006599287469747,89.86,1320.318014250605,2096.9433501781327,7.9833501781325635,89.86,1760.35,1274.8052853931295,8.176649821867436,179.85,1760.3033501781326,1291.5219352149973,8.21005053439769,179.85,1759.2433501781327,1529.112288955781,6.216599287469747,179.28,921.5679637162074,2094.44,7.6732996437348735,90.06,897.9913644287376,2094.47,8.076750890662819,90.06,875.9914149631352,2094.49,8.340151603193071,90.06,686.237862647412,2094.7,7.09,90.06,1369.7667003562653,1978.8587871744555,7.266447684276677,178.75,220.3714149631353,2104.0696967936137,8.56,102.2,1d,8,1568281044
31566,31566,987.5667446988894,1568282082.3274367,987.5667446988894,-85.15306103201583,623.9053615124653,116.56353235800327,627.9717085046741,0.003574401140213013,623.9312049329184,152.97819126533017,648.5182197727762,0.9809365272521972,673.0797069528243,98.68388863383774,673.3552928611776,0.9414687156677246,623.8085581629347,189.3613518553709,681.927610592209,0.25771379470825195,648.931105907656,48.86349004222481,707.3273400053363,0.8085324764251709,488.24252718993193,237.02842926091648,551.2864149373809,0.8109062314033508,488.88956987106883,-35.56726048182004,555.2770215759358,0.3275727331638336,612.4073633451128,299.6815432110345,378.0998614379876,0.9763681888580322,606.6118678813052,-155.26990353886325,356.233380475904,0.9905091524124146,754.2342311407082,313.27646045932136,209.4457427539698,0.860812783241272,767.3819941808102,-171.21492217220086,207.49969880237884,0.8580899238586426,402.880680003601,160.94510962645398,215.9906689840624,0.15869298577308655,396.8841725899872,-32.66614678671216,203.93013689340816,0.8015572428703308,644.4155659099056,201.4249347230202,66.67384000628428,0.7546452283859253,732.4056418202977,-69.68722744266931,60.75511635507965,0.6381048560142517,438.33825016042033,174.0889973737611,-498.34876974437447,0.012485772371292114,431.6715041186808,-90.59528442527409,-591.1339682806323,0.009862393140792848,1241.536182866886,2100.253325530111,6.2266978795557355,269.14985954199915,1598.7440278201154,2094.753325530111,8.8700468193336,90.57,1335.5839575911145,2096.98,7.993302120444264,89.86,1320.5839575911145,2096.946674469889,7.986674469888934,89.86,1760.35,1274.5326934691075,8.173325530111066,179.85,1760.3066744698885,1291.2460189992184,8.220023409666801,179.85,1759.2466744698886,1528.9061828668862,6.203302120444267,179.28,921.8239341814481,2094.44,7.666651060222134,90.06,898.2606320610038,2094.47,8.093372349444667,90.06,876.2706554706704,2094.49,8.370070229000403,90.06,686.4738873621143,2094.7,7.09,90.06,1369.773348939778,1978.6194381679968,7.223231891443862,178.75,220.65065547067044,2104.009859541999,8.56,102.2,1d,8,1568281044
31567,31567,987.6,1568282082.3607302,987.6,-92.16496555189751,619.3184199617108,110.01717116027815,622.1786823973056,0.001576542854309082,628.530388360894,147.64243511633842,648.3490207664411,0.9843285083770752,665.6015113020502,95.95704157252968,666.2085367967662,0.953141152858734,623.4646940180437,188.7486728465402,680.2678149844531,0.3003159761428833,646.7420540962707,46.06609745797514,705.7892596927617,0.7766568660736084,482.15587570828245,235.0162316048292,545.4013371062549,0.8236600160598755,492.2195391810211,-41.411308059379394,552.4847087076614,0.1135219931602478,606.6911883833815,298.25871441031524,371.7613118937634,0.9825206398963928,610.7093828123974,-156.68247452228252,353.5130376800877,0.9909530878067015,738.0711718681924,312.77515613452687,203.3529937257772,0.971351146697998,775.5710219027864,-175.59223767705024,211.42538095561275,0.8827778100967407,400.6671703625637,159.50173950379283,221.08274819581203,0.1562230885028839,397.5019770360593,-36.01921182078103,205.4310872782937,0.7918540835380554,649.1608208561743,199.29851093807258,62.19630649179163,0.5255409479141235,675.5151053949597,-77.73661558414848,23.09297843535276,0.6510763168334961,512.6922778530346,168.25390236392437,-427.87921648833293,0.0125066339969635,592.1404841388124,-71.5441544454037,-410.65059905284585,0.003273874521255493,1241.33,2100.25,6.24,269.09,1599.04,2094.75,8.89,90.57,1335.85,2096.98,7.98,89.86,1320.85,2096.95,7.99,89.86,1760.35,1274.26,8.17,179.85,1760.31,1290.97,8.23,179.85,1759.25,1528.7,6.19,179.28,922.08,2094.44,7.66,90.06,898.53,2094.47,8.11,90.06,876.55,2094.49,8.4,90.06,686.71,2094.7,7.09,90.06,1369.78,1978.38,7.18,178.75,220.93,2103.95,8.56,102.2,1d,8,1568281044
31568,31568,987.6335291579146,1568282082.3942587,987.6335291579146,-85.69914654957537,628.6119983338665,104.26800507661235,631.8016665839411,0.005664706230163574,636.7995963765683,145.36214837921673,654.6436738833329,0.7333285808563232,656.3303504501629,92.8871369227995,662.4354131690721,0.9384042024612428,617.4704569024507,188.79710609848118,680.3618268163209,0.211960107088089,651.0983917684928,44.262573909552536,709.4677264996112,0.7773736715316772,472.39398638229835,234.17576177556026,562.6145904316597,0.9259355068206788,490.8288977856131,-43.17546521432133,550.4237191478396,0.0928093194961548,571.8924154911089,285.0296414554093,350.3427376921803,0.5910654664039612,606.9865728028168,-161.7604267452335,350.6147557651934,0.9910831451416016,735.1592662525536,308.7267419310798,198.03864927265712,0.9463491439819336,783.2991354583647,-175.9768042387612,214.4691719748333,0.7007151246070862,414.1366109324231,169.73936972062927,203.25906799967396,0.2498070001602173,397.3207097205764,-39.72918620912929,206.0607362429438,0.8412427306175232,658.8472713954243,197.70568154406467,33.98411183331348,0.4667724370956421,813.2738249734165,-66.96697471033426,115.41002025377232,0.6029605865478516,553.9042117560336,176.73712717589916,-422.9867114023732,0.01501062512397766,503.7963269723439,-100.57049341316866,-505.5047511830383,0.0019926726818084717,1241.118766305138,2100.243294168417,6.246705831582916,269.0162358525879,1599.3350565896485,2094.7466470842087,8.879941252625628,90.57,1336.1182332633166,2096.98,8.006823326331663,89.86,1321.1182332633166,2096.95,7.979941252625626,89.86,1760.35,1273.9850609051005,8.183411663165831,179.85,1760.31,1290.6950609051005,8.219941252625626,179.85,1759.2533529157915,1528.495472136721,6.169882505251254,179.28,922.3348216001508,2094.44,7.656647084208544,90.06,898.8015861791081,2094.47,8.083176673668339,90.06,876.8282920106909,2094.49,8.379882505251253,90.06,686.944704105402,2094.7,7.066529589459795,90.06,1369.7867058315828,1978.1352371472242,7.206823326331662,178.75,221.208292010691,2103.889647515753,8.543235421042711,102.2,1d,8,1568281044
31569,31569,987.6668158398562,1568282082.4275448,987.6668158398562,-74.68643170399191,635.784710050779,99.9597724483091,637.5813920643029,0.006244838237762451,648.4669139476188,137.6708251959809,663.0796393301185,0.7533571720123291,670.4810005141796,84.59308552442492,670.9484369886987,0.9471077919006348,611.5286336097672,186.97466386973525,686.8383604426713,0.5374419689178467,642.883197166542,38.221578085160935,707.9053532991963,0.6296498775482178,476.2184778741611,225.83768158592576,564.5138707408013,0.9138308763504028,487.74865454639837,-43.84068994196083,548.1091962252422,0.08860859274864198,579.4290402053367,280.5940074877077,354.1142313894747,0.6095283031463623,602.8277475268161,-163.29408112173138,347.7531888985393,0.98940771818161,753.3347288840176,302.2817707507518,208.02672762835712,0.9587579965591432,780.8986583496446,-177.33280486972615,210.14466784151853,0.8070955276489258,411.2766586792273,170.56708676297603,182.53686388055002,0.404745489358902,391.8970493831565,-38.085125816081735,191.05922808470456,0.87471604347229,696.4711645761038,193.39711995961014,45.22640378061863,0.36390185356140137,826.1768163982038,-67.37372100612478,124.86711124325146,0.5278144478797913,562.9812147553002,170.01253821596956,-432.90189477024285,0.055817395448684685,675.6996677001338,-72.58957285691524,-320.4437882987814,0.00688701868057251,1240.9090602089059,2100.236636832029,6.2533631679712345,268.9430051523164,1599.6279793907345,2094.743318416014,8.869955248043148,90.57,1336.3845267188494,2096.98,8.033452671884941,89.86,1321.3845267188494,2096.95,7.9699552480431475,89.86,1760.35,1273.7121101131795,8.19672633594247,179.85,1760.31,1290.4221101131795,8.209955248043148,179.85,1759.2566815839855,1528.2924233768772,6.149910496086295,179.28,922.587800382907,2094.44,7.653318416014383,90.06,899.071208302835,2094.47,8.056547328115059,90.06,877.1045714708063,2094.49,8.359910496086295,90.06,687.1777108789933,2094.7,7.043228912100678,90.06,1369.7933631679712,1977.8922443690499,7.2334526718849395,178.75,221.48457147080623,2103.829731488259,8.526592080071913,102.2,1d,8,1568281044
31570,31570,987.7,1568282082.4607284,987.7,-76.68666268578622,618.0627459326947,100.84878831956915,619.4270952899537,4.670023918151856e-05,645.4339297193351,134.7961424395507,660.3893484087046,0.8941848874092102,662.1501669073988,82.29495580489679,668.4230046937083,0.8899128437042236,619.1304841682434,178.6634235961373,686.5815478331698,0.17863497138023374,643.7006504233508,34.58033342711999,709.5053980949386,0.6256168484687805,487.5732406472568,220.7061523125705,562.106070001003,0.8497096300125122,491.22857762896325,-49.08227066635703,550.2522044615116,0.0945708155632019,582.778974388616,282.99624819256314,355.7467716277629,0.5476207137107849,600.3020512663136,-162.58960523309946,352.16743270238885,0.9885218143463136,754.8986584532237,299.63981566380755,208.37637975498933,0.9775863885879515,783.0511990448724,-178.88251203438168,209.1700187070068,0.7044957876205444,429.3710759759197,168.83035923260647,181.85521554292308,0.5480506420135498,402.3916918700126,-44.512569268332456,177.38091352495445,0.5427643060684204,757.2142306937642,184.73115732482682,55.79321240426097,0.5800843834877014,815.1419313353838,-65.39840213725303,117.64256790618376,0.6065747737884521,562.1818757869089,166.71479649893595,-445.9949606064431,0.11928287148475647,760.8204300757242,-59.4422796823156,-225.1333217029695,0.003698617219924927,1240.7,2100.23,6.26,268.87,1599.92,2094.74,8.86,90.57,1336.65,2096.98,8.06,89.86,1321.65,2096.95,7.96,89.86,1760.35,1273.44,8.21,179.85,1760.31,1290.15,8.2,179.85,1759.26,1528.09,6.13,179.28,922.84,2094.44,7.65,90.06,899.34,2094.47,8.03,90.06,877.38,2094.49,8.34,90.06,687.41,2094.7,7.02,90.06,1369.8,1977.65,7.26,178.75,221.76,2103.77,8.51,102.2,1d,8,1568281044
31571,31571,987.7,1568282082.4607284,987.7,,613.7237209982836,105.36660138357006,614.5012213795943,0.0008802711963653564,659.3878995529973,133.0513949634659,678.3455281116521,0.9217782020568848,667.2393739355218,78.64464697287863,676.2044593281245,0.6687366962432861,614.8650946555579,182.5151975339673,695.9281555794763,0.3906345069408417,634.7821227817813,31.67873214254516,710.0738490889862,0.306149423122406,489.46085863195196,219.05566910942875,551.9690369998674,0.5018258094787598,472.99446020473175,-36.469459719869825,565.4165523556387,0.7113010287284851,608.9950655236532,289.71105753314856,371.86800511634425,0.9850009679794312,595.4009388048772,-163.08888736035811,353.5689580081878,0.9874435663223268,754.0974030598558,303.0143567655316,210.3923967559089,0.986169695854187,780.3519214676971,-178.38783431651544,205.54657919519693,0.8106247186660767,435.72167892462164,175.65118561212188,177.70536082366004,0.4884987473487854,423.7428062608127,-40.04858566258496,164.9700125094283,0.08386284112930298,769.0808832489805,181.52619763694042,63.0151432658335,0.6348563432693481,849.2024094077568,-63.81422108522533,134.72383932735423,0.3387022614479065,540.9445135509295,165.84444052148066,-464.4257240362632,0.248064786195755,790.8309024359552,-54.49806584024912,-193.60437683165642,0.006271392107009889,1240.7,2100.23,6.26,268.87,1599.92,2094.74,8.86,90.57,1336.65,2096.98,8.06,89.86,1321.65,2096.95,7.96,89.86,1760.35,1273.44,8.21,179.85,1760.31,1290.15,8.2,179.85,1759.26,1528.09,6.13,179.28,922.84,2094.44,7.65,90.06,899.34,2094.47,8.03,90.06,877.38,2094.49,8.34,90.06,687.41,2094.7,7.02,90.06,1369.8,1977.65,7.26,178.75,221.76,2103.77,8.51,102.2,1d,8,1568281044
31572,31572,987.7502796632596,1568282082.4942484,987.7502796632596,,616.3692179584494,101.54429499680836,614.8092065117818,0.9872690439224244,656.8983962006288,128.21690966326722,670.8453721538548,0.9495242834091188,668.4216804717812,77.14412882269067,677.7949521944478,0.9774676561355592,619.7234345559615,174.03200902594884,691.369885291967,0.1681159734725952,632.6611137206911,29.615261519034448,707.5499408205908,0.553058922290802,489.5937446198408,218.27021462725816,549.9889099844845,0.5663074851036072,476.2168954853914,-37.3592154778689,555.6741141156124,0.3378995954990387,612.7003186066105,289.0658671682408,368.8907026148072,0.9829691648483276,594.6030703149081,-154.31104581632243,361.02116967662175,0.2691073417663574,754.6885845153207,304.6992925815823,209.2876174928627,0.9791887998580932,758.6158008119514,-183.31058162570446,211.4538843493103,0.5870361328125,434.21195567658515,165.28155425383187,182.6175677739853,0.5659083127975464,388.44664250465553,-39.622499154881375,186.767602146758,0.8979661464691162,777.16772698943,187.8296706355313,53.74493584282789,0.7386875748634338,852.4228875052437,-66.85433231721186,139.95377093564696,0.4557242393493652,534.0375583515249,171.45058027286476,-472.17232955541084,0.2357380390167237,601.2105390076108,-95.791037176501,-397.8625787549325,0.003741830587387085,1240.38826608779,2100.224972033674,6.244916101022098,268.75435677450275,1600.3674890030109,2094.74,8.854972033674033,90.57,1337.0572652724036,2096.985027966326,8.065027966325967,89.86,1322.0522373060776,2096.95,8.015307629585644,89.86,1760.35,1273.0277067612703,8.215027966325968,179.85,1760.31,1289.7326787949444,8.245251696933707,179.85,1759.26,1527.77826608779,6.175251696933707,179.28,923.2271534070996,2094.44,7.665083898977902,90.06,899.7472652724034,2094.47,8.075251696933707,90.06,877.8073771377072,2094.49,8.370167797955805,90.06,687.7669856091437,2094.7,7.060223730607739,90.06,1369.805027966326,1977.2879864245306,7.229832202044195,178.75,222.18234917138128,2103.6794966061325,8.565307629585643,102.2,1d,8,1568281044
31573,31573,987.8,1568282082.5273955,987.8,-100.33862288412143,613.5211848020659,93.94106525314615,616.3982376147177,0.986113429069519,655.758134392182,118.73891928078821,671.7420353198956,0.9678902626037598,670.1794796387896,72.70924130692103,682.7039439996853,0.9713540077209472,617.755910300988,172.64250064284764,698.035990454145,0.5405643582344055,631.8511410695539,21.350441299346567,707.3566075626837,0.3947889804840088,492.7376222739032,214.84198914859616,551.4239168045552,0.4933000504970551,476.8508627970117,-39.75207927118456,553.2702237241092,0.3086004853248596,612.2934523479317,294.7060251293898,370.2607898835925,0.9838101863861084,597.5851394847331,-158.75285529387276,364.4122653319,0.3364794850349426,765.1834642074608,303.84586295314165,215.3032733590817,0.9746137857437134,753.4397766453781,-183.50169244992176,212.8343782293201,0.7140776515007019,400.5485576841299,160.83945750605102,161.33059066488667,0.5992036461830139,414.4470126462712,-37.937679528871406,206.49400119473134,0.902188003063202,762.632139884561,183.9320629754327,45.41947453857802,0.793890655040741,763.2642282773552,-74.6014599428537,84.29123075967166,0.4024556279182434,528.2386591920937,169.21308852303406,-478.2566169960955,0.0920557975769043,581.4532963750638,-108.38915841342336,-421.89271790291497,0.004387259483337402,1240.08,2100.22,6.23,268.64,1600.81,2094.74,8.85,90.57,1337.46,2096.99,8.07,89.86,1322.45,2096.95,8.07,89.86,1760.35,1272.62,8.22,179.85,1760.31,1289.32,8.29,179.85,1759.26,1527.47,6.22,179.28,923.61,2094.44,7.68,90.06,900.15,2094.47,8.12,90.06,878.23,2094.49,8.4,90.06,688.12,2094.7,7.1,90.06,1369.81,1976.93,7.2,178.75,222.6,2103.59,8.62,102.2,1d,8,1568281044
