,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,Q_in-J_out.15_x,Q_in-J_out.15_y,Q_in-J_out.15_speed,Q_in-J_out.15_angle,Q_in-J_out.16_x,Q_in-J_out.16_y,Q_in-J_out.16_speed,Q_in-J_out.16_angle,Q_in-J_out.17_x,Q_in-J_out.17_y,Q_in-J_out.17_speed,Q_in-J_out.17_angle,Q_in-J_out.18_x,Q_in-J_out.18_y,Q_in-J_out.18_speed,Q_in-J_out.18_angle,Q_in-J_out.19_x,Q_in-J_out.19_y,Q_in-J_out.19_speed,Q_in-J_out.19_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,H_in-K_out.22_x,H_in-K_out.22_y,H_in-K_out.22_speed,H_in-K_out.22_angle,H_in-K_out.23_x,H_in-K_out.23_y,H_in-K_out.23_speed,H_in-K_out.23_angle,Q_in-J_out.20_x,Q_in-J_out.20_y,Q_in-J_out.20_speed,Q_in-J_out.20_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,H_in-K_out.24_x,H_in-K_out.24_y,H_in-K_out.24_speed,H_in-K_out.24_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,H_in-K_out.25_x,H_in-K_out.25_y,H_in-K_out.25_speed,H_in-K_out.25_angle,Q_in-J_out.21_x,Q_in-J_out.21_y,Q_in-J_out.21_speed,Q_in-J_out.21_angle,H_in-K_out.26_x,H_in-K_out.26_y,H_in-K_out.26_speed,H_in-K_out.26_angle,H_in-K_out.27_x,H_in-K_out.27_y,H_in-K_out.27_speed,H_in-K_out.27_angle,H_in-K_out.28_x,H_in-K_out.28_y,H_in-K_out.28_speed,H_in-K_out.28_angle,scenario,participant_id,source_file
33598,33598,1032.9668772124,1568708686.15835,1032.9668772124,-108.59636151940754,608.9446702155733,57.83968072014145,690.9416184867267,0.9986759424209596,597.5885942687631,82.52149741892255,724.0785303931018,0.9978018403053284,602.6404501159873,25.70511151269525,713.7142864135246,0.9985623359680176,567.5055508827328,123.67744572215621,727.1525097678792,0.927354633808136,578.318030500325,-22.017505530230302,713.1760968789073,0.9668667316436768,487.6927910522037,185.581827009628,564.2548011886054,0.9625725150108336,465.44678810475233,-80.39612746130841,548.5478745361975,0.9713832139968872,592.9168576555862,241.0529055750591,381.62151241379286,0.9745337963104248,558.8712866605774,-153.1844037550907,371.8777907594943,0.5500392317771912,751.3181294046277,293.803278843965,238.18101150688628,0.6443338990211487,732.8311386150567,-173.36911924110225,209.75096944873863,0.8658599853515625,445.841774309784,155.12535421187644,123.46892732911957,0.5172451734542847,529.2943883750877,-40.6221228757812,165.05914618217227,0.00476306676864624,767.2575943718541,161.90538936366994,9.187091689016595,0.6187330484390259,773.5594043326109,-76.702226466508,95.9685566263973,0.2391715347766876,437.5795600391848,187.31948554025055,-605.8255107676288,0.02289429306983948,567.5911041544371,-103.83003973120856,-384.9809661411274,0.01054653525352478,1764.16668772124,1287.59088429208,4.196687721240002,1.4066245575199958,1760.5533122787601,742.8752349556797,6.843185951319986,180.37,1760.65,757.4152349556799,6.889936836279994,180.37,1760.74,771.1818595131999,6.873691261080032,180.37,1760.84,786.1652349556799,6.8231227875999805,180.37,1760.93,799.9952349556797,6.863375442480004,180.37,1760.81,1095.8485472344396,6.879747345119977,179.85,2653.79700353984,769.6318595132,7.229873672559988,166.91,2650.32369126108,784.5718595131999,7.276750884960007,166.91,2647.26350176992,798.3551717919597,7.236498230079984,173.91,1800.4784840707196,874.26,7.130189491160017,269.55,1937.04504546452,875.33,7.6733122787599966,269.55,2027.2218595132001,876.0333122787599,7.01,269.55,1760.06,1385.8382314158398,8.343312278759997,179.85,2408.93176858416,874.0966877212401,8.390063163720006,89.83,2042.42517179196,876.1533122787599,7.069936836279994,269.55,2308.584954535481,873.8066877212401,7.7566877212400005,89.83,2267.3182668142404,873.6866877212401,7.6166877212400035,89.83,2134.94861039816,876.6,6.5633754424800035,269.83,1757.92,1634.6518595132002,7.039873672559987,179.28,2148.4686103981603,876.64,6.589936836279994,269.83,2162.01861039816,876.68,6.596624557519996,269.83,2175.7186103981603,876.72,6.583501769920017,269.83,2a,14,1568707580
33599,33599,1033.0,1568708686.1914568,1033.0,-86.05782269031711,609.1235172606058,57.3751166022923,690.5308995960374,0.9986923933029176,593.7784321649898,82.57445975261068,723.3674991422447,0.9977307319641112,594.6841103470283,25.32218326755177,712.2329948075014,0.9986746311187744,564.5821853747544,124.12368215472492,724.8258196215154,0.9257926940917968,570.6897657639778,-21.46622835030449,711.1993382534329,0.9620109796524048,497.1971210324778,185.7766959484657,567.1340574076078,0.9531878232955932,472.5296703762767,-77.63545207685911,553.7529252652985,0.965641975402832,598.7612885938443,241.55882650544137,390.85516356666153,0.9761972427368164,538.3826114683237,-152.7874577932349,362.63239931571815,0.9061697721481324,748.8857339377306,293.4834975217153,238.47499944803147,0.59334397315979,715.0309894397711,-181.50663656690742,208.56536760441108,0.8489929437637329,440.6109592959851,156.1272335941903,122.80407139863478,0.3817695379257202,522.4302207297137,-40.6537967906531,163.91755333869474,0.004209280014038086,802.1436422145548,161.95956787557358,45.92319871969221,0.5479073524475098,781.6662242689247,-72.92246201440855,101.89418249890413,0.2298564910888672,427.9558481379177,204.52796486407226,-617.970675297376,0.02699205279350281,587.6305122433553,-96.0981215057175,-357.62408930093835,0.017743617296218872,1764.17,1287.73,4.2,1.4,1760.55,742.65,6.82,180.37,1760.65,757.19,6.88,180.37,1760.74,770.95,6.93,180.37,1760.84,785.94,6.79,180.37,1760.93,799.77,6.87,180.37,1760.81,1095.62,6.84,179.85,2653.85,769.4,7.21,166.91,2650.38,784.34,7.29,166.91,2647.29,798.12,7.21,173.91,1800.24,874.26,7.16,269.55,1936.79,875.33,7.67,269.55,2026.99,876.03,7.01,269.55,1760.06,1385.56,8.34,179.85,2409.21,874.1,8.4,89.83,2042.19,876.15,7.06,269.55,2308.84,873.81,7.76,89.83,2267.57,873.69,7.62,89.83,2134.73,876.6,6.57,269.83,1757.92,1634.42,7.02,179.28,2148.25,876.64,6.58,269.83,2161.8,876.68,6.59,269.83,2175.5,876.72,6.61,269.83,2a,14,1568707580
33600,33600,1033.0340928477142,1568708686.2255714,1033.0340928477142,-81.70660598797166,605.1194536305445,59.561540516676175,690.2117871191628,0.9985141754150392,593.1388550121849,85.26122347383405,724.2024406838472,0.9969357252120972,605.6007608535963,28.012679888101644,716.6476676214209,0.9986974596977234,566.9824125057106,125.11299346424104,727.4674781995534,0.9170392751693726,573.4671063940152,-19.06129285543295,708.1754560835985,0.81407231092453,488.57295363447787,192.10396764481288,563.6239367345788,0.943595290184021,467.90863983961805,-77.37730300596486,554.1627491752297,0.9632372260093688,600.048025817325,240.51379554226955,389.6467097557693,0.9725822806358336,544.395044144244,-148.2281298757142,368.5202657765775,0.9677191972732544,758.4071305777287,292.98061516160226,240.6132484398136,0.5665065050125122,717.11228708922,-175.49814913496598,199.74882566788688,0.8166653513908386,437.6418435347784,158.57835564482812,152.55353323455938,0.8086340427398682,513.3579176246296,-41.13922399899384,153.15983672564684,0.005832165479660034,825.528291758657,163.27923582516982,70.22069994541414,0.4855070412158966,822.388843995401,-67.55086625710035,126.12338625767715,0.3781119585037232,416.1980165617424,211.78121908959133,-632.1064129139394,0.02608218789100647,648.3003716094278,-91.10506097790062,-339.8308199414089,0.01531180739402771,1764.1734092847714,1287.8731899603995,4.2,1.4,1760.55,742.414759350772,6.840455708628534,180.37,1760.646590715229,756.954759350772,6.869772145685732,180.37,1760.7365907152289,770.7147593507719,6.919772145685732,180.37,1760.8365907152286,785.704759350772,6.820683562942801,180.37,1760.926590715229,799.534759350772,6.859772145685732,180.37,1760.813409284771,1095.384759350772,6.8775021324856445,179.85,2653.904548556343,769.1613500660004,7.237274278171379,166.91,2650.4345485563426,784.1013500660005,7.255907152285777,166.91,2647.3138649934,797.8711222116863,7.254320702028488,173.91,1799.9979407812289,874.2565907152284,7.146362860914311,269.55,1936.5274850726005,875.3265907152286,7.666590715228577,269.55,2026.7479407812289,876.03,7.0304557086285335,269.55,1760.06,1385.277029363972,8.346818569542844,179.85,2409.499789205571,874.1,8.410227854314266,89.83,2041.9479407812287,876.1465907152284,7.06,269.55,2309.105924212171,873.81,7.766818569542845,89.83,2267.8291056426283,873.69,7.623409284771423,89.83,2134.5049872050863,876.6,6.587046423857111,269.83,1757.9234092847714,1634.1813500660003,7.023409284771423,179.28,2148.0249872050863,876.64,6.590227854314268,269.83,2161.574987205086,876.68,6.603637139085689,269.83,2175.2783964898576,876.72,6.589544291371468,269.83,2a,14,1568707580
33601,33601,1033.066711301936,1568708686.2582107,1033.066711301936,-81.63781426074081,610.1970897164014,61.030319167880485,692.1467941692763,0.9984663128852844,593.0076096471811,86.98897221598747,724.4616905264827,0.9962518215179444,601.7730386824236,29.637717520658725,715.4263937431049,0.9986617565155028,567.0109814151617,126.16594837600329,728.1223186198752,0.8911246061325073,573.4526493287617,-17.668300266040422,708.5956855813897,0.854274570941925,488.47287038659937,189.5859279373048,562.014350113137,0.9583505988121032,470.53070007956114,-75.6247278982378,553.3763327223986,0.9651446342468262,601.5110210646883,243.25854176365502,386.7284087428717,0.976975917816162,547.0263699562839,-147.07783913538643,374.9698688135562,0.9412055015563964,794.9252276663559,297.3847851276572,238.41203890269625,0.9396172761917114,719.5335633976372,-171.93719483954246,204.3394993012141,0.8590667247772217,456.3668199846484,157.4901366664284,138.73289479161681,0.5182755589485168,526.0855408047811,-39.81782973690175,158.35704584285884,0.01227930188179016,817.5027403086897,166.83159767723228,61.22324733795965,0.3314123749732971,833.59007380886,-59.49168496175513,87.94733340845518,0.12188345193862915,391.47602176068335,217.0833198909132,-657.9738961477657,0.030156344175338745,654.5083756690022,-83.71023722202746,-352.9137820941752,0.0598408579826355,1764.1766711301934,1288.0101874681318,4.2,1.4,1760.55,742.189692016641,6.860026781161658,180.37,1760.6433288698065,756.7296920166409,6.8599866094191695,180.37,1760.7333288698064,770.4896920166409,6.909986609419169,180.37,1760.8333288698066,785.4796920166409,6.8500401717424895,180.37,1760.9233288698065,799.309692016641,6.849986609419171,180.37,1760.8166711301935,1095.159692016641,6.913382432129708,179.85,2653.9567380830977,768.9330208864475,7.263369041548881,166.91,2650.4867380830983,783.8730208864473,7.223288698063902,166.91,2647.3366979113557,797.6330074958664,7.296724692516929,173.91,1799.7663497562532,874.2533288698064,7.133315479225559,269.55,1936.276322975092,875.3233288698066,7.6633288698063895,269.55,2026.5163497562532,876.03,7.05002678116166,269.55,1760.06,1385.0062961939304,8.353342260387219,179.85,2409.777046066457,874.1,8.420013390580829,89.83,2041.7163497562533,876.1433288698064,7.06,269.55,2309.3603481551017,873.81,7.773342260387219,89.83,2268.077005894714,873.69,7.6266711301936105,89.83,2134.289705407222,876.6,6.60335565096805,269.83,1757.9266711301934,1633.9530208864471,7.02667113019361,179.28,2147.809705407222,876.64,6.6000133905808305,269.83,2161.3597054072216,876.68,6.616684520774441,269.83,2175.0663765374147,876.72,6.56997321883834,269.83,2a,14,1568707580
33602,33602,1033.1,1568708686.2915206,1033.1,-81.56882117262438,608.9459032317176,65.20437918133166,691.2116417881491,0.9987196922302246,593.1373298902962,91.1002127551805,724.2316641752988,0.993738055229187,608.2038953742198,35.799888654559304,721.0470262005285,0.9949164986610411,563.0408528113089,127.60673319591152,728.4700152789302,0.8167376518249512,568.7534751753783,-15.867974107641768,706.1221229563325,0.8725755214691162,488.6946379149777,188.6793418395604,561.4044383815109,0.9651486873626708,472.79929677881483,-77.90357683768212,554.0083485713812,0.8381218910217285,601.6949001602312,247.30958393213945,386.3940827823798,0.9826115369796752,552.5069645647434,-146.22243114099717,375.17180776481536,0.9470292329788208,794.8453708705774,299.4992762384419,236.35099379711002,0.935787796974182,715.7203292664682,-171.34557118901017,203.21144542445026,0.8555788397789001,460.2604279781334,157.17913686010945,124.22994475569142,0.7323716878890991,521.9511669118161,-43.4695531627917,151.06285651768462,0.01812589168548584,536.6645844668458,189.27715699045132,-232.37038723650397,0.4221237301826477,854.1929570121475,-59.69469422906933,88.21294416285895,0.1334766447544098,353.73994229767976,200.88278653930183,-694.4842026117807,0.01370537281036377,653.7209475243912,-79.02203800922247,-364.8137722502983,0.0395205020904541,1764.18,1288.15,4.2,1.4,1760.55,741.96,6.88,180.37,1760.64,756.5,6.85,180.37,1760.73,770.26,6.9,180.37,1760.83,785.25,6.88,180.37,1760.92,799.08,6.84,180.37,1760.82,1094.93,6.95,179.85,2654.01,768.7,7.29,166.91,2650.54,783.64,7.19,166.91,2647.36,797.39,7.34,173.91,1799.53,874.25,7.12,269.55,1936.02,875.32,7.66,269.55,2026.28,876.03,7.07,269.55,1760.06,1384.73,8.36,179.85,2410.06,874.1,8.43,89.83,2041.48,876.14,7.06,269.55,2309.62,873.81,7.78,89.83,2268.33,873.69,7.63,89.83,2134.07,876.6,6.62,269.83,1757.93,1633.72,7.03,179.28,2147.59,876.64,6.61,269.83,2161.14,876.68,6.63,269.83,2174.85,876.72,6.55,269.83,2a,14,1568707580
33603,33603,1033.1333540132573,1568708686.3248472,1033.1333540132573,-81.49962652271421,607.215209724478,68.80579409580552,685.9516803923045,0.9978108406066896,593.1699039274779,93.19948142302408,724.1854528991803,0.9934268593788148,601.533523084471,36.38157645087465,716.586270041475,0.9986721277236938,565.9341554007897,127.00584467153787,729.4973542308221,0.8506751060485841,563.4940382784897,-14.693271258631144,705.2583722133411,0.9106919765472412,493.1303091924974,193.75760548670647,562.8705395687059,0.9576232433319092,461.0057291484677,-79.92663031579825,548.5742310154858,0.8613588213920593,595.936398154272,248.3786939636131,387.6182992267279,0.9843294620513916,537.8998245590435,-146.2605509152661,362.3747926172728,0.9246444702148438,797.0175880818066,299.4677835280267,240.0161585375517,0.915999174118042,717.6964902367782,-175.43199859089833,216.528009549631,0.8787217140197754,459.1813892770092,157.15371240973846,113.8752131052227,0.7286710739135742,521.004454546375,-45.36571892009629,145.75399942481206,0.032153815031051636,498.500245196862,197.3903125645898,-283.6536573138027,0.4839158058166504,859.0005270200195,-61.85514889196585,83.90929762328352,0.09127435088157654,346.29232584736184,190.2055367373531,-699.7499897535852,0.009878337383270264,646.9115349518977,-78.19056236623987,-366.40070931008523,0.11005985736846924,1764.1833354013256,1288.290086855681,4.2033354013257345,1.396664598674265,1760.5466645986744,741.7331927098502,6.869993796022795,180.37,1760.64,756.27319270985,6.8466645986742645,180.37,1760.73,770.03319270985,6.8866583946970605,180.37,1760.83,785.02319270985,6.866658394697059,180.37,1760.92,798.8531927098502,6.8500062039772045,180.37,1760.82,1094.6998573085243,6.939993796022796,179.85,2654.063366421212,768.4665219071986,7.2666521907198565,166.91,2650.593366421212,783.4065219071987,7.210012407954411,166.91,2647.410031019886,797.1565219071987,7.2899689801139775,173.6531740979184,1799.2931865058729,874.25,7.12,269.55,1935.766509499244,875.3166645986743,7.646658394697059,269.55,2026.0465219071984,876.0266645986743,7.06332919734853,269.55,1760.06,1384.453161689964,8.346658394697059,179.85,2410.340173711362,874.1,8.419993796022796,89.83,2041.2465219071985,876.14,7.063335401325735,269.55,2309.8801613034075,873.81,7.796677006628674,89.83,2268.583490500756,873.69,7.599981388068386,89.83,2133.849863512501,876.6,6.62,269.83,1757.9333354013256,1633.4831865058732,7.026664598674265,179.28,2147.369863512501,876.64,6.61,269.83,2160.9198635125013,876.68,6.619993796022795,269.83,2174.6265281111755,876.72,6.586689414583083,269.83,2a,14,1568707580
33604,33604,1033.1667034928391,1568708686.3581693,1033.1667034928391,-81.4302301072048,609.7112920934368,71.86881922199696,693.2751944391557,0.9987648725509644,593.2104946284422,96.44632757086224,724.1344059097618,0.9922752380371094,607.9058452702093,42.00011626240437,721.7822569319354,0.9965003728866576,566.4275737604979,128.89359796824252,729.3180840212393,0.8091415166854858,563.3540820349467,-13.13654990416935,704.4285881272313,0.9182711839675904,489.6359089212498,193.90218324593232,560.3295674238685,0.9519449472427368,467.09649692295636,-77.42345762554534,552.9592495795994,0.8700903654098511,604.5635895113693,249.86712395907867,390.48119530117515,0.9797677397727966,547.1955651111533,-142.83037144934133,372.9854886319387,0.9390308260917664,796.9796060085948,300.7695799793714,240.87738727734902,0.9193980693817142,724.9155896715655,-168.29588089981902,213.86205208797068,0.8991465568542479,457.51428958496,159.54337426301913,115.20487253258251,0.776520848274231,526.4553460582791,-45.2655772179856,139.0252764112538,0.09961900115013124,428.796562461366,204.44421705439444,-350.53523303128907,0.435006320476532,866.3196290911729,-63.82903556044708,88.33435863888752,0.13713106513023374,335.1151828575218,184.33413078589683,-711.2029569720207,0.0139751136302948,646.6321785736299,-79.56065631427991,-351.81301768759016,0.30819904804229736,1764.186670349284,1288.4301546699244,4.206670349283914,1.3933296507160866,1760.543329650716,741.5064162486939,6.85998895214826,180.37,1760.64,756.046416248694,6.843329650716085,180.37,1760.73,769.806416248694,6.873318602864348,180.37,1760.83,784.796416248694,6.853318602864348,180.37,1760.92,798.6264162486939,6.86001104785174,180.37,1760.82,1094.4697458994099,6.9299889521482605,179.85,2654.1167255885425,768.233075550126,7.243307555012607,166.91,2650.6467255885423,783.1730755501262,7.230022095703481,166.91,2647.460055239259,796.9230755501262,7.239944760741299,173.39638310513863,1799.0564052008424,874.25,7.12,269.55,1935.5130534544226,875.3133296507159,7.633318602864348,269.55,2025.813075550126,876.0233296507159,7.056659301432173,269.55,1760.06,1384.1763610094354,8.333318602864347,179.85,2410.620309339849,874.1,8.409988952148263,89.83,2041.0130755501261,876.14,7.066670349283912,269.55,2310.140287244145,873.81,7.813351746419567,89.83,2268.8369465455776,873.69,7.569966856444781,89.83,2133.6297569472613,876.6,6.62,269.83,1757.936670349284,1633.2464052008422,7.023329650716088,179.28,2147.1497569472613,876.64,6.61,269.83,2160.699756947262,876.68,6.60998895214826,269.83,2174.4030865979776,876.72,6.623373842123049,269.83,2a,14,1568707580
33605,33605,1033.2,1568708686.3914385,1033.2,-81.3606317193195,611.4029797842984,70.86967751509347,694.8391495254848,0.9988118410110474,594.1032381048892,95.81689975609758,722.265279319063,0.9989309906959534,608.184130870995,41.47835551989935,722.3276603313843,0.9960296154022216,570.3241805605923,129.5771084203326,731.3343521718872,0.8165820837020874,561.0967884233903,-13.117578430242386,704.8414544098313,0.9144819974899292,494.2096402273282,197.77847887492194,560.6594545772716,0.9424684047698976,476.7304510403093,-75.5225248104003,557.6325164797207,0.8919966220855713,596.1916340113736,257.94467464958274,378.42585099350515,0.8805962800979614,557.5847835854672,-142.0445006197381,375.01005453974165,0.9370072484016418,785.2439549204851,303.0727350161962,237.99273915372447,0.9328064918518066,711.2863935655643,-172.47797928904856,194.24649184842892,0.8662786483764648,465.925088276584,159.68603297768817,122.69375930540949,0.7576655149459839,521.9000410269397,-41.011836768720244,126.99994649699828,0.058854073286056525,362.9747833053895,210.4700159627551,-421.77760651874047,0.4144060909748077,850.0742088721022,-68.35666466263643,66.98352833812663,0.17166262865066528,326.0420494276641,181.95671960090013,-720.6683453378239,0.012742340564727785,640.4233766575355,-76.84681503890856,-371.6164323758149,0.13076502084732056,1764.19,1288.57,4.21,1.39,1760.54,741.28,6.85,180.37,1760.64,755.82,6.84,180.37,1760.73,769.58,6.86,180.37,1760.83,784.57,6.84,180.37,1760.92,798.4,6.87,180.37,1760.82,1094.24,6.92,179.85,2654.17,768.0,7.22,166.91,2650.7,782.94,7.25,166.91,2647.51,796.69,7.19,173.14,1798.82,874.25,7.12,269.55,1935.26,875.31,7.62,269.55,2025.58,876.02,7.05,269.55,1760.06,1383.9,8.32,179.85,2410.9,874.1,8.4,89.83,2040.78,876.14,7.07,269.55,2310.4,873.81,7.83,89.83,2269.09,873.69,7.54,89.83,2133.41,876.6,6.62,269.83,1757.94,1633.01,7.02,179.28,2146.93,876.64,6.61,269.83,2160.48,876.68,6.6,269.83,2174.18,876.72,6.66,269.83,2a,14,1568707580
33606,33606,1033.23325816452,1568708686.4248428,1033.23325816452,-81.29083114923161,607.6572191837761,72.74875207782873,694.2877606082695,0.9986851215362548,598.2506962858308,95.5807055441422,722.3045749587227,0.9987815618515016,597.4831808909656,41.60144751062739,716.4925809156955,0.9966095685958862,574.4265928003626,131.20109531109958,732.2460797113713,0.8353965282440186,555.2773059382987,-12.007302095831626,701.7224384452965,0.944143533706665,488.72458212176963,194.52308506482512,562.1003984266272,0.9840075373649596,477.4633711670706,-74.30031802050559,558.676549777409,0.8971291780471802,595.0303387844191,251.89711442586238,388.23917853999365,0.9812716245651244,558.4851340626203,-143.2024783881063,375.1440480991065,0.9435329437255859,785.4194836336328,304.00279726174944,235.27164051451408,0.9182142019271852,713.2231414539173,-176.15728385804874,194.9220205828284,0.8420209884643555,469.17655342475433,159.97101168860408,130.9978480366596,0.6838476657867432,509.18907532758027,-40.56525324890192,119.77765016162908,0.04061967134475708,333.76260778875815,213.13771725737544,-453.42608404404035,0.4184255599975586,850.207805095853,-67.9503328545192,64.77322126403647,0.21230947971343994,321.7670426134088,180.14101170997318,-724.72184963197,0.017814815044403076,632.0373953747205,-79.57255479595047,-387.1854225875401,0.1528390347957611,1764.193325816452,1288.7096842909841,4.206674183547995,1.39,1760.54,741.0505186648115,6.863303265808019,180.37,1760.6366741835482,755.5905186648117,6.846651632904012,180.37,1760.726674183548,769.3505186648117,6.846696734191981,180.37,1760.826674183548,784.3405186648117,6.85995489871203,180.37,1760.916674183548,798.1705186648117,6.85004510128797,180.37,1760.82,1094.0071928483596,6.929977449356017,179.85,2654.226538879684,767.7671928483596,7.22,166.91,2650.7565388796843,782.7071928483597,7.240022550643983,166.91,2647.563213063232,796.4538670319076,7.226583980972056,172.80076672189549,1798.5805412154557,874.246674183548,7.12665163290401,269.55,1935.003912133196,875.31,7.64660653161604,269.55,2025.34719284836,876.0166741835478,7.0300451012879694,269.55,1760.063325816452,1383.6206314180315,8.32665163290401,179.85,2411.1793685819684,874.1,8.419954898712032,89.83,2040.543867031908,876.1366741835478,7.053370917739974,269.55,2310.6594136832564,873.81,7.8166967341919795,89.83,2269.342762050353,873.69,7.569932348068045,89.83,2133.1871702977155,876.6,6.633303265808022,269.83,1757.943325816452,1632.7738670319075,7.043280715164036,179.28,2146.7071702977155,876.64,6.613325816452005,269.83,2160.257170297716,876.6766741835478,6.6066516329040095,269.83,2173.960496114168,876.716674183548,6.636719284835965,269.83,2a,14,1568707580
33607,33607,1033.2691901232927,1568708686.4609327,1033.2691901232927,-84.6752210796463,608.8424051592931,75.51236930369689,691.3361133681032,0.9988417625427246,602.9550764390002,97.60976429137536,723.9034546117401,0.9984641075134276,604.6131477994177,43.02245248321464,719.4492042351193,0.996644139289856,572.3485789140777,134.30294606712818,730.1387314362115,0.7007073760032654,573.8419549762833,-8.114739529640847,707.5666716139032,0.8979456424713135,489.4023382586477,193.72486716011508,560.0171797215285,0.9802780151367188,477.6563369578225,-72.70185749331985,558.5523247483719,0.9212697744369508,601.0057540029725,259.0879679088428,376.333306225662,0.9055526256561279,554.8247711016453,-144.35341974483637,382.9365249235597,0.9500894546508788,784.7340942837361,304.51937233492316,236.4866812318375,0.9267807602882384,721.0853135660747,-176.11906155921247,199.4939557008873,0.8528388142585754,472.0808577081038,159.22617878824502,138.8336024276679,0.6544946432113647,505.4058976009324,-40.840129919564646,120.3642872585626,0.05028420686721802,625.9506703397865,185.52956979565587,-139.58316738925976,0.7427957653999329,885.2479312720259,-59.79679676370556,120.37656309056592,0.4433965384960175,272.9515454771878,206.9363815250554,-775.8164984542093,0.011116921901702879,630.1460262084954,-79.45098579910929,-395.6215251019156,0.06224751472473145,1764.196919012329,1288.8605985178292,4.203080987670732,1.39,1760.54,740.8025881492805,6.877676049317076,180.37,1760.6330809876708,755.3425881492806,6.853838024658539,180.37,1760.723080987671,769.1025881492806,6.832323950682924,180.37,1760.823080987671,784.0925881492806,6.881514073975615,180.37,1760.9130809876708,797.9225881492805,6.828485926024385,180.37,1760.82,1093.7556691369514,6.940757036987808,179.85,2654.2876232095973,767.5156691369511,7.22,166.91,2650.817623209597,782.4556691369513,7.229242963012192,166.91,2647.6207041972684,796.1987501246219,7.26610913562196,172.43426074241455,1798.3218311122926,874.2430809876707,7.133838024658537,269.55,1934.7272360506463,875.31,7.6753520986341535,269.55,2025.0956691369515,876.0130809876707,7.0084859260243855,269.55,1760.0669190123292,1383.318802964341,8.333838024658537,179.85,2411.4811970356586,874.1,8.441514073975615,89.83,2040.2887501246216,876.1330809876707,7.035404938353653,269.55,2310.939682961683,873.81,7.802323950682924,89.83,2269.615844937025,873.69,7.6022711109634225,89.83,2132.9464261739386,876.6,6.647676049317076,269.83,1757.946919012329,1632.5187501246219,7.068433086304884,179.28,2146.466426173939,876.64,6.6169190123292685,269.83,2160.0164261739387,876.6730809876708,6.6138380246585395,269.83,2173.723345186268,876.7130809876708,6.611566913695116,269.83,2a,14,1568707580
