,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,H_in-K_out.13_x,H_in-K_out.13_y,H_in-K_out.13_speed,H_in-K_out.13_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,H_in-K_out.14_x,H_in-K_out.14_y,H_in-K_out.14_speed,H_in-K_out.14_angle,K_in-H_out.7_x,K_in-H_out.7_y,K_in-H_out.7_speed,K_in-H_out.7_angle,H_in-K_out.15_x,H_in-K_out.15_y,H_in-K_out.15_speed,H_in-K_out.15_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,Q_in-J_out.15_x,Q_in-J_out.15_y,Q_in-J_out.15_speed,Q_in-J_out.15_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,H_in-K_out.22_x,H_in-K_out.22_y,H_in-K_out.22_speed,H_in-K_out.22_angle,K_in-H_out.8_x,K_in-H_out.8_y,K_in-H_out.8_speed,K_in-H_out.8_angle,Q_in-J_out.16_x,Q_in-J_out.16_y,Q_in-J_out.16_speed,Q_in-J_out.16_angle,Q_in-J_out.17_x,Q_in-J_out.17_y,Q_in-J_out.17_speed,Q_in-J_out.17_angle,H_in-K_out.23_x,H_in-K_out.23_y,H_in-K_out.23_speed,H_in-K_out.23_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,H_in-K_out.24_x,H_in-K_out.24_y,H_in-K_out.24_speed,H_in-K_out.24_angle,scenario,participant_id,source_file
30209,30209,946.366424662601,1568968413.0935664,946.366424662601,-86.13878697689934,676.1209482854302,22.981544692956405,587.9695998460753,0.9930757284164428,692.8587923365071,46.999203795064965,634.3636437686563,0.991305947303772,687.4642525080849,-1.7979758990548405,630.8153508834007,0.9805712699890136,635.517132981128,89.16994136502821,632.2255280157292,0.4605186879634857,647.9866124031857,-44.76260652946309,632.0534280177765,0.5877766013145447,554.4313768697547,135.0360846882173,521.2372261645128,0.88824063539505,555.1983145146601,-84.86970879849764,524.1055208452926,0.7592712640762329,659.0421768276658,231.21584560511133,321.96478290241697,0.9759384393692015,607.732411259786,-213.435115353834,331.2528974185593,0.03810003399848938,821.8162377159102,252.38607444131242,207.56897049972682,0.9257562160491944,769.266943539842,-246.47885325933083,191.019822343821,0.9129741191864014,393.0456198781492,114.30411461344644,149.20017495833412,0.24596792459487915,406.4017192666741,-89.42376559000385,197.23444034445552,0.4058011472225189,542.4863705377201,150.92340592163708,-75.24381947106279,0.24731457233428955,575.4812817600425,-104.06188962266336,-20.093162795354946,0.40087267756462097,533.3653841412754,166.51375251975168,-447.4633540573149,0.012628227472305298,668.5896555557646,-98.43563479165199,-175.7367995474775,0.03911876678466797,1763.20335753374,1207.4116877056877,6.793357533739893,0.10729587723719597,1760.49335753374,734.0650273617924,7.0134301349595685,180.37,1511.6316698280523,868.0167150674797,6.870072601219675,268.61,1761.07,822.0486026991914,7.966715067479784,180.37,1526.6916698280527,868.3867150674797,6.86,268.61,1761.17,837.1819602329313,8.009636993901617,180.37,1540.6816698280527,868.7267150674799,6.923430134959568,268.61,2645.519782196341,814.6851725642317,7.700072601219675,173.91,1645.2085300979718,871.2667150674797,7.726715067479785,268.68,1659.7518876317115,871.5967150674799,7.746352061381402,268.68,1737.6691835089487,873.3900726012198,10.369854797560649,268.68,1753.1223232390296,873.7233575337399,9.499782196340972,269.13,1803.4150273617927,874.2833575337398,7.0402178036590275,269.55,1817.5483848955325,874.3933575337397,7.076569865040432,269.55,1760.1266424662601,1360.3886026991913,8.04,179.85,1914.3285300979721,875.15,7.726787668699461,269.55,1991.968457496752,875.76,7.426497263820754,269.55,2469.547821963409,874.27,8.989927398780324,89.83,1758.8866424662601,1557.8851725642319,7.630290404878706,179.28,1757.92664246626,1633.975390367891,8.51,179.28,2339.2148821593532,877.19,6.386642466260108,269.83,2156.6145370308896,873.36664246626,8.719927398780323,89.83,2455.3118150304917,877.53,7.4734301349595675,269.83,2a,23,1568967420
30210,30210,946.4,1568968413.127328,946.4,-88.78780978860857,673.741140799954,22.403398374834747,583.0122806571543,0.9862979650497437,681.4255884222125,42.15464227808143,630.6911727141858,0.9897526502609252,681.2033719125252,-9.060597428165947,625.1000114900139,0.9903116226196288,635.100847270783,85.25271315052572,633.6049127827647,0.369262158870697,653.802321559995,-51.6093325887115,637.3568829631379,0.7016760110855103,561.5263594088785,137.99841446007514,516.310127467921,0.6180859208106995,553.3403956340312,-92.12266375600485,525.7774604046595,0.9711002111434937,653.6340740507859,234.88539849513137,322.9845433534893,0.9808943271636964,616.5065966939522,-219.2550862423106,325.4031231165575,0.28574129939079285,819.6576086529222,254.9449764410213,205.26936354980046,0.9183976650238036,779.7948925252488,-242.09912986458988,193.8833118791456,0.8578106164932251,405.1907824073468,110.44944205611976,119.75978373272926,0.2333255112171173,414.63299456145086,-94.64686918064324,197.24223363632547,0.3332986831665039,611.4417242519545,139.62890643318107,-47.753053171462355,0.14078748226165771,606.4610967376385,-119.28693332541279,5.772762618651682,0.4209534525871277,509.6566537684169,165.74393866776376,-486.88700918961206,0.01424264907836914,694.4364679704289,-104.38962273537793,-64.01839209902532,0.06132122874259949,1763.2,1207.64,6.79,0.02,1760.49,733.83,7.0,180.37,1511.4,868.01,6.86,268.61,1761.07,821.78,7.96,180.37,1526.46,868.38,6.86,268.61,1761.17,836.91,8.06,180.37,1540.45,868.72,6.91,268.61,2645.55,814.43,7.69,173.91,1644.95,871.26,7.72,268.68,1659.49,871.59,7.79,268.68,1737.32,873.38,10.39,268.68,1752.8,873.72,9.53,269.13,1803.18,874.28,7.01,269.55,1817.31,874.39,7.09,269.55,1760.13,1360.12,8.04,179.85,1914.07,875.15,7.71,269.55,1991.72,875.76,7.45,269.55,2469.85,874.27,9.0,89.83,1758.89,1557.63,7.59,179.28,1757.93,1633.69,8.51,179.28,2339.0,877.19,6.39,269.83,2156.91,873.37,8.73,89.83,2455.06,877.53,7.46,269.83,2a,23,1568967420
30211,30211,946.4329849690793,1568968413.1604676,946.4329849690793,-86.38257589479677,680.0818037144859,16.520769011195913,588.1433734889622,0.981842041015625,677.5287122012567,39.454924552860376,628.0971319291714,0.9895713329315186,683.6755059055503,-13.346428763513202,629.3322883940348,0.9737898111343384,636.3691779214697,79.28875722310458,637.5138532263679,0.4534956514835358,643.9418551580735,-58.32726244663992,631.7101580147345,0.4476354718208313,554.8140709338588,129.10096128521764,522.4705299482255,0.7735373973846436,556.7090678985288,-95.05189083865842,523.4808481318446,0.9700639247894288,648.7285812633049,236.81704227058273,321.9336032172792,0.9853633046150208,614.8671837507205,-220.36082676671185,317.83512432932264,0.2900561988353729,809.8335500788918,263.4217060063929,207.12135830609944,0.9549561738967896,765.7724068215526,-243.8689449026836,188.30126085834732,0.9078605175018308,400.1791985381585,109.6006271588863,139.9801602580534,0.2851812243461609,412.24683789313684,-95.71260170864592,198.9997854886877,0.2322035431861877,537.3696868167318,141.52629263849715,-97.63085910172302,0.0730167031288147,611.4570669936422,-123.10341830810354,23.76832918525082,0.5020338296890259,473.4213654242586,165.35565166789786,-531.5088205863718,0.00641477108001709,694.5346346004171,-110.95126532464514,-19.189939265618136,0.10607337951660156,1763.2,1207.8642977897384,6.79,118.70981423753658,1760.49,733.5991052164459,7.0,180.37,1511.1724037133538,868.0067015030922,6.873193987631664,268.61,1761.066701503092,821.5194187442746,7.956701503092084,180.37,1526.2357022102615,868.3734030061843,6.8567015030920855,268.61,1761.166701503092,836.6461202473668,8.03691052164459,180.37,1540.2224037133535,868.7134030061842,6.91,268.61,2645.5763879752635,814.1793142349983,7.696596993815832,173.91,1644.6960157380904,871.2534030061843,7.693612024736673,268.68,1659.2360157380906,871.5867015030922,7.77350751546042,268.68,1736.9769563215766,873.3734030061843,10.37350751546042,268.68,1752.48334429684,873.7134030061842,9.549790981447497,269.13,1802.949105216446,874.28,7.016596993815831,269.55,1817.075806719538,874.39,7.080104509276253,269.55,1760.13,1359.8561202473666,8.03670150309208,179.85,1913.8160157380905,875.1467015030922,7.7264924845395795,269.55,1991.4726127319063,875.7567015030922,7.45,269.55,2470.1468647217125,874.27,8.98350751546042,89.83,1758.8932984969078,1557.3760157380905,7.619686472171242,179.28,1757.933298496908,1633.409627762827,8.503403006184168,179.28,2338.788896197893,877.19,6.3801045092762525,269.83,2157.193670734081,873.37,8.710209018552504,89.83,2454.8159112288145,877.53,7.450104509276253,269.83,2a,23,1568967420
30212,30212,946.4666203921232,1568968413.1942608,946.4666203921232,-101.15162255672205,680.972651532257,7.9236139029708355,586.5819999023089,0.9907243251800536,679.4027681412732,34.405134771616524,631.8323092899182,0.9813580513000488,681.5913444320023,-17.760140559260407,628.5596851149824,0.9695994853973388,622.7780402265611,80.6325813699181,633.8639732671013,0.8510115146636963,646.662547655547,-60.75112765878096,631.7543055210235,0.4107033908367157,555.2581307874168,129.0048267050615,531.6019016772007,0.9746391177177428,573.7259236590196,-89.93620703046713,521.0372836232709,0.7977059483528137,645.3197008190245,236.15237168662205,328.7263271541217,0.9830058813095092,619.404412715385,-220.33858995935432,319.8265525368761,0.2716750204563141,796.0319018242369,265.6623107044249,201.60054334565098,0.9513332843780518,756.2391137134832,-244.60608320781773,185.78882381418626,0.9341264963150024,387.6044957382536,114.65950347188893,57.257725215283614,0.312289834022522,422.61490136580215,-93.87548901076246,204.20315235412514,0.2314876317977905,637.2281828753756,135.41735181286577,-37.30374694150971,0.1028965413570404,598.6071553694968,-126.8007567621002,14.924424254439767,0.5650096535682678,443.2140600352666,163.03370474821205,-566.7864140477524,0.004406958818435669,770.5203107222494,-106.87407644881463,50.965251525262545,0.07525929808616638,1763.2,1208.0930186664384,6.79,239.7401569774123,1760.49,733.3636572551367,7.0,180.37,1510.9403192943491,868.0033379607878,6.886648156849335,268.61,1761.0633379607873,821.2536989022258,7.953337960787666,180.37,1526.0069813335615,868.3666759215753,6.853337960787666,268.61,1761.1633379607874,836.3770368630134,8.013365725513662,180.37,1539.9903192943489,868.7066759215753,6.91,268.61,2645.6032963136986,813.9236850198625,7.703324078424668,173.91,1644.4370229806507,871.2466759215753,7.666703686301327,268.68,1658.9770229806506,871.5833379607878,7.756689803938332,268.68,1736.6271479219172,873.3666759215753,10.35668980393833,268.68,1752.1604442356158,873.7066759215753,9.569972235274003,269.13,1802.7136572551367,874.28,7.023324078424668,269.55,1816.8369952159242,874.39,7.070013882362997,269.55,1760.13,1359.5870368630133,8.033337960787666,179.85,1913.5570229806506,875.1433379607878,7.743310196061668,269.55,1991.220347059075,875.7533379607878,7.45,269.55,2470.44958352911,874.27,8.96668980393833,89.83,1758.8966620392127,1557.1170229806507,7.649958352911005,179.28,1757.9366620392127,1633.1237266669516,8.496675921575331,179.28,2338.573629490411,877.19,6.370013882362998,269.83,2157.4829353722607,873.37,8.690027764725997,89.83,2454.567009098288,877.53,7.440013882362997,269.83,2a,23,1568967420
30213,30213,946.5,1568968413.227797,946.5,-102.50363103989244,675.9064823963788,4.103908297377998,588.4351973638796,0.9905833005905152,687.3637525927696,31.017969967500893,634.8152800936888,0.980998158454895,684.649275097548,-20.575743606628077,631.2774415986007,0.9616031050682068,641.8645437953007,75.31232908730887,643.1130615093143,0.8700717687606812,646.9322662698983,-63.79177211031754,632.7349566048721,0.4195367693901062,550.2105654077167,128.68502034887274,532.1984496635333,0.9704040288925172,558.1683531187518,-99.71359540521988,528.5594381014988,0.9533492922782898,657.8807784581287,232.9433061586789,339.1250784732132,0.6303788423538208,599.1027049647472,-216.9650542518317,340.51113449723067,0.054161906242370605,820.52488562806,256.22879266386155,206.6969035978384,0.9316709041595459,761.328786155761,-245.46040777323344,186.73196033953357,0.2167314887046814,399.93082100795823,119.44970024330047,48.25586988113264,0.05166861414909363,415.2426268839029,-95.06082227571623,201.548832536282,0.22381967306137085,598.1500289031043,135.93607964649087,-67.53865870830006,0.1219850778579712,601.4066913660317,-128.47891813230123,22.457944585848427,0.5784981846809387,426.28077120334336,161.610003645125,-588.0591905630886,0.0045558512210845965,743.3918052136426,-107.8227180365492,40.08737178883717,0.11122000217437744,1763.2,1208.32,6.79,359.85,1760.49,733.13,7.0,180.37,1510.71,868.0,6.9,268.61,1761.06,820.99,7.95,180.37,1525.78,868.36,6.85,268.61,1761.16,836.11,7.99,180.37,1539.76,868.7,6.91,268.61,2645.63,813.67,7.71,173.91,1644.18,871.24,7.64,268.68,1658.72,871.58,7.74,268.68,1736.28,873.36,10.34,268.68,1751.84,873.7,9.59,269.13,1802.48,874.28,7.03,269.55,1816.6,874.39,7.06,269.55,1760.13,1359.32,8.03,179.85,1913.3,875.14,7.76,269.55,1990.97,875.75,7.45,269.55,2470.75,874.27,8.95,89.83,1758.9,1556.86,7.68,179.28,1757.94,1632.84,8.49,179.28,2338.36,877.19,6.36,269.83,2157.77,873.37,8.67,89.83,2454.32,877.53,7.43,269.83,2a,23,1568967420
30214,30214,946.5334357142012,1568968413.2614858,946.5334357142012,-81.70754195892053,676.2602971636891,2.3049363915322663,586.8659492244768,0.9896671772003174,673.7458732865647,31.68411649941793,629.4724997524042,0.8835122585296631,679.2528499705437,-23.236808200423088,627.9956144242444,0.9520055055618286,637.240644459642,73.0469368302831,639.4153493215831,0.8816685676574707,650.2709019220415,-64.68530465588633,634.4490058453575,0.42731520533561707,550.1898022454263,125.81793912972796,531.1710063580858,0.9718935489654541,552.8223809343776,-99.63078568725186,527.1661584182233,0.9527948498725892,651.7376684905453,230.2114354654441,331.27752469861804,0.01849675178527832,604.665983175892,-224.127893251674,324.10881642883146,0.21097567677497864,819.6856350617307,262.757394278585,205.77719751014146,0.8352103233337402,745.5770946056253,-243.83260067942558,180.44081254792786,0.7773250341415405,422.73053141120636,120.20430439068971,52.855181705896655,0.07286018133163452,424.1342309403871,-95.5084822249322,204.55879787907543,0.2707791328430176,594.5267912117538,135.7584857452135,-71.4576097699894,0.17838814854621887,609.4992152371623,-121.44970261525823,24.11505423969785,0.4656086564064026,399.4656493160312,165.8919094166516,-616.1277847019377,0.009060233831405641,616.9521351754528,-118.36482957398566,-112.79746830988728,0.027656733989715576,1763.1966564285801,1208.5473628565685,6.800030714260367,359.7998464286982,1760.49,732.8926064291713,7.016717857100612,180.37,1510.4792935720113,867.9933128571597,6.903343571420122,268.61,1761.06,820.7225142863903,7.966717857100612,180.37,1525.5492935720115,868.3566564285799,6.860030714260367,268.61,1761.16,835.8458578578102,7.973282142899388,180.37,1539.5292935720115,868.6966564285799,6.903312857159755,268.61,2645.6567485713613,813.4125450006505,7.720030714260367,173.91,1643.9225450006506,871.2333128571597,7.666748571360979,268.68,1658.4625450006506,871.5733128571597,7.723282142899388,268.68,1735.9356121437274,873.3533128571597,10.336656428579877,268.68,1751.5223607150886,873.6966564285799,9.586656428579877,269.13,1802.2459500005914,874.2766564285797,7.03,269.55,1816.3692935720114,874.3866564285797,7.029907857218897,269.55,1760.13,1359.04917071497,8.046717857100612,179.85,1913.0392014292306,875.14,7.76,269.55,1990.7225757149108,875.7466564285799,7.45,269.55,2471.050921427811,874.2733435714201,8.973404999940856,89.83,1758.9033435714202,1556.6058885720706,7.656595000059142,179.28,1757.9433435714202,1632.5591400007095,8.476625714319509,179.28,2338.1526985719524,877.19,6.333251428639021,269.83,2158.0608907135506,873.37,8.686717857100613,89.83,2454.0725757149107,877.5266564285797,7.423312857159755,269.83,2a,23,1568967420
30215,30215,946.5667644727347,1568968413.2950668,946.5667644727347,-81.70754195892053,672.2851697155222,1.9084771269116845,584.1960939787482,0.9901230335235596,683.8831577232805,30.548656296190124,632.3950616232926,0.9801169633865356,678.9156970367715,-23.740902882729678,627.4984201438691,0.9584668874740601,630.2162885581104,73.9418737672774,636.2922886068397,0.874057412147522,645.241757282674,-64.31761918700376,632.8223262968559,0.4146756529808045,546.7295766936181,125.55334281526243,527.4031766585051,0.9769949913024902,551.9000243159312,-99.76744549752394,528.169898440094,0.9487829208374025,656.1977514012394,230.87032808875358,331.89005604323614,0.020951956510543827,612.6000676678442,-224.7069646508436,320.9244254621235,0.2675546407699585,813.2109368629448,261.5115850182568,210.7173523280044,0.9416431188583374,762.3748228162473,-240.887386719282,187.09788365241826,0.8864810466766357,433.0889774619323,120.20700585322183,53.5635039410339,0.07079058885574341,424.71008758697747,-93.6383318767188,201.9269342282847,0.3343037366867065,576.5562239772298,140.93154981581958,-81.49213824197236,0.14527112245559692,608.0920210764442,-111.25081734123181,17.867654609872233,0.4015775322914124,378.78511333723884,164.03871991386404,-635.8928964429177,0.010980039834976195,589.2272411289338,-117.59284428180688,-217.2100111112355,0.02378633618354797,1763.1933235527265,1208.773998414595,6.810029341820369,359.7498532908982,1760.49,732.6559722435846,7.033382236367281,180.37,1510.2493251381313,867.9866471054531,6.9066764472734565,268.61,1761.06,820.4558842181235,7.98338223636728,180.37,1525.3193251381315,868.3533235527266,6.870029341820367,268.61,1761.16,835.5825606653971,7.956617763632719,180.37,1539.2993251381315,868.6933235527266,6.896647105453089,268.61,2645.683411578188,813.1559135599439,7.730029341820368,173.91,1643.6659135599439,871.2266471054531,7.693411578187646,268.68,1658.2059135599438,871.5666471054532,7.706617763632719,268.68,1735.592325930834,873.3466471054531,10.333323552726544,268.68,1751.2057375090217,873.6933235527266,9.583323552726544,269.13,1802.0126486908578,874.2733235527264,7.03,269.55,1816.139325138132,874.3833235527266,6.999911974538895,269.55,1760.13,1358.77920777085,8.06338223636728,179.85,1912.7792371126707,875.14,7.76,269.55,1990.4759429017645,875.7433235527266,7.45,269.55,2471.3508802546107,874.2766764472734,8.996735130914193,89.83,1758.9066764472736,1556.352590007217,7.633264869085807,179.28,1757.9466764472736,1632.2791784290296,8.463294210906176,179.28,2337.9460602690456,877.19,6.306588421812354,269.83,2158.3508509127905,873.37,8.70338223636728,89.83,2453.8259429017644,877.5233235527264,7.416647105453088,269.83,2a,23,1568967420
30216,30216,946.6,1568968413.328554,946.6,-85.76377902217475,672.3850185071071,3.919984425363367,583.4436765515072,0.9899226427078248,676.4080608337157,32.422916004556804,630.4783932875548,0.9822746515274048,683.132134500231,-21.286417975722237,629.5766304061865,0.9625300168991088,644.0687411846025,75.07338542411111,643.9841972952443,0.8281116485595703,653.192810669748,-63.0236287991776,636.5828582925324,0.3542790412902832,551.4280640908918,127.48527924095328,527.7129628264787,0.9781992435455322,563.214298907932,-94.18216371997984,523.0430690455742,0.6602728366851807,661.5463892295693,229.20857345150142,339.85327388039417,0.161851704120636,618.6358046407522,-223.65768752399617,320.8512230569207,0.29516011476516724,835.8975492091245,256.11023700702947,216.75298746947067,0.9300805926322936,755.3758837898217,-240.52591492573958,187.73184663809985,0.8810387849807739,378.4909743923182,126.69224009935586,104.7805944395412,0.15979737043380735,421.3801385991135,-92.33404352227282,197.44610438698442,0.332548052072525,519.8541103990194,159.36462175799892,-97.21382623571344,0.4711091220378876,624.458799377313,-107.70106395022717,7.380885502073113,0.27791839838027954,361.62813789422654,184.01101577213436,-611.7891331009331,0.004321575164794922,560.2104027109527,-123.03083930657776,-287.6458830146448,0.041680753231048584,1763.19,1209.0,6.82,359.7,1760.49,732.42,7.05,180.37,1510.02,867.98,6.91,268.61,1761.06,820.19,8.0,180.37,1525.09,868.35,6.88,268.61,1761.16,835.32,7.94,180.37,1539.07,868.69,6.89,268.61,2645.71,812.9,7.74,173.91,1643.41,871.22,7.72,268.68,1657.95,871.56,7.69,268.68,1735.25,873.34,10.33,268.68,1750.89,873.69,9.58,269.13,1801.78,874.27,7.03,269.55,1815.91,874.38,6.97,269.55,1760.13,1358.51,8.08,179.85,1912.52,875.14,7.76,269.55,1990.23,875.74,7.45,269.55,2471.65,874.28,9.02,89.83,1758.91,1556.1,7.61,179.28,1757.95,1632.0,8.45,179.28,2337.74,877.19,6.28,269.83,2158.64,873.37,8.72,89.83,2453.58,877.52,7.41,269.83,2a,23,1568967420
30217,30217,946.6334502926757,1568968413.362125,946.6334502926757,-89.06461838773119,672.238383223975,8.579922763796084,584.2188352771005,0.9892867803573608,684.4138193168817,34.330465368584264,632.0947326048063,0.9830118417739868,679.9055841762603,-19.179552926013194,626.4662793194852,0.9716793298721312,634.4368737899807,80.85456627409644,639.1725576594388,0.8180561065673828,651.1847904699722,-64.50623172374496,637.2987777348199,0.5719585418701172,552.8640350200003,130.08940499849288,525.4887073260759,0.9736570119857788,543.1866993548107,-98.32405340008215,526.6823000924751,0.9537471532821656,655.3955374894167,235.99728043882286,320.69153519778354,0.9844846725463868,602.4538887589177,-217.1703115722048,340.6739461643523,0.08956363797187805,833.2915197798407,261.3487850566276,208.119010872321,0.9137809872627258,754.2815354163263,-238.5493484962548,182.09976995717938,0.116876482963562,371.5978073002738,130.52314301906358,135.04723862321242,0.14223742485046387,421.9003662133644,-89.2729801001642,192.52921299012402,0.3788550794124603,538.143747369856,166.6566326144704,-86.25954222092452,0.2758805155754089,636.0097228983514,-99.83998134363716,-0.6481703472849745,0.28278088569641113,318.82911964491194,200.66659999353675,-638.8307321379034,0.004267096519470215,563.5299467960364,-117.07818847004074,-332.857478988918,0.007338076829910278,1763.1866549707324,1209.2274619901934,6.82,359.6464795317192,1760.4866549707324,732.1858479512714,7.063380117070206,180.37,1509.789192980539,867.9733099414649,6.90665497073245,268.61,1761.0566549707323,819.9257426878635,7.969894736592034,180.37,1524.8591929805386,868.3433099414649,6.8766549707324485,268.61,1761.1566549707325,835.0523976585959,7.953380117070208,180.37,1538.8391929805387,868.6833099414648,6.89,268.61,2645.7367602341405,812.645777775666,7.729964912197344,173.91,1643.1524327463985,871.2166549707325,7.730035087802656,268.68,1657.6924327463987,871.5533099414647,7.693345029267553,268.68,1734.905461985442,873.3299649121974,10.336690058535103,268.68,1750.5688771903149,873.6833099414648,9.569964912197346,269.13,1801.5425029220041,874.27,7.03,269.55,1815.672502922004,874.38,7.013485380478173,269.55,1760.13,1358.2423976585958,8.056584795127138,179.85,1912.2624327463986,875.1366549707326,7.753309941464896,269.55,1989.982467834201,875.74,7.439964912197344,269.55,2471.9543976633468,874.28,9.033380117070207,89.83,1758.9133450292675,1555.845777775666,7.6300701756053115,179.28,1757.9566900585348,1631.7156725122584,8.47007017560531,179.28,2337.525918126877,877.19,6.293380117070208,269.83,2158.9343625755446,873.37,8.733380117070208,89.83,2453.329122804933,877.52,7.436760234140414,269.83,2a,23,1568967420
30218,30218,946.6667492588087,1568968413.395544,946.6667492588087,-86.46136271508284,672.6699119889925,12.73843799804034,583.684017592398,0.9908285140991212,692.0953502348407,37.21470958432182,634.842788318373,0.9866040945053101,677.4612531416615,-14.954763029243429,627.0607710050037,0.9799549579620358,616.8243143398322,86.48671436113358,630.7074269299078,0.7354441285133362,657.0024982127381,-58.754808472499036,637.8797099591757,0.4040677547454834,558.6668704193767,135.61995064346408,513.0570256902546,0.6278961896896362,546.4920577463224,-97.00321234555805,527.5370907760196,0.9579959511756896,657.6375297229507,239.05670487664653,325.23452132220217,0.9817239046096802,590.3352913363933,-213.26698931764167,345.581330067817,0.07919079065322876,831.7745422180287,260.4459525503997,210.0003144131967,0.9379406571388244,765.8703719402209,-235.60637483391238,185.42776890988475,0.08070892095565796,375.2727859703401,122.42240190144716,142.77483266077022,0.2138246297836304,406.63259202107736,-84.7305529774588,178.46258365672446,0.5052156448364258,596.1697799532159,186.2270626308248,-35.307832674271026,0.06985214352607727,613.161169842893,-93.29723464250424,-25.739476239949852,0.23801133036613464,301.72905537007864,186.69610114761159,-645.8796388549432,0.0063520073890686035,586.0840475373875,-92.94621217624041,-334.2739899938141,0.009961098432540894,1763.1833250741192,1209.4538949599,6.82,359.59320118590585,1760.4833250741192,731.9527551883383,7.07669970352353,180.37,1509.5594301142194,867.9666501482383,6.903325074119118,268.61,1761.0533250741194,819.6626808554103,7.939925667072058,180.37,1524.629430114219,868.3366501482382,6.873325074119117,268.61,1761.1533250741193,834.7860059295294,7.966699703523529,180.37,1538.609430114219,868.6766501482382,6.89,268.61,2645.763399407047,812.3927056330529,7.719975222357353,173.91,1642.896030707172,871.2133250741191,7.740024777642647,268.68,1657.436030707172,871.5466501482382,7.696674925880883,268.68,1734.5624826342691,873.3199752223574,10.343349851761763,268.68,1750.2492071154354,873.6766501482382,9.559975222357354,269.13,1801.3060802624573,874.27,7.03,269.55,1815.4360802624574,874.38,7.056774036451473,269.55,1760.13,1357.9760059295295,8.033275518833822,179.85,1912.006030707172,875.1333250741189,7.746650148238236,269.55,1989.7360554848144,875.74,7.429975222357353,269.55,2472.25741825516,874.28,9.046699703523533,89.83,1758.9166749258811,1555.592705633053,7.650049555285295,179.28,1757.9633498517621,1631.4326313001252,8.490049555285294,179.28,2337.3128047436235,877.19,6.30669970352353,269.83,2159.2273934775176,873.37,8.74669970352353,89.83,2453.0793805589333,877.52,7.463399407047062,269.83,2a,23,1568967420
