,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.2_x,H_in-C_out.2_y,H_in-C_out.2_speed,H_in-C_out.2_angle,H_in-C_out.3_x,H_in-C_out.3_y,H_in-C_out.3_speed,H_in-C_out.3_angle,H_in-C_out.4_x,H_in-C_out.4_y,H_in-C_out.4_speed,H_in-C_out.4_angle,H_in-C_out.5_x,H_in-C_out.5_y,H_in-C_out.5_speed,H_in-C_out.5_angle,C_in-E_out.19_x,C_in-E_out.19_y,C_in-E_out.19_speed,C_in-E_out.19_angle,C_in-E_out.20_x,C_in-E_out.20_y,C_in-E_out.20_speed,C_in-E_out.20_angle,H_in-C_out.6_x,H_in-C_out.6_y,H_in-C_out.6_speed,H_in-C_out.6_angle,H_in-C_out.7_x,H_in-C_out.7_y,H_in-C_out.7_speed,H_in-C_out.7_angle,C_in-E_out.21_x,C_in-E_out.21_y,C_in-E_out.21_speed,C_in-E_out.21_angle,C_in-E_out.22_x,C_in-E_out.22_y,C_in-E_out.22_speed,C_in-E_out.22_angle,A_in-D_out.19_x,A_in-D_out.19_y,A_in-D_out.19_speed,A_in-D_out.19_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,H_in-C_out.8_x,H_in-C_out.8_y,H_in-C_out.8_speed,H_in-C_out.8_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.9_x,H_in-C_out.9_y,H_in-C_out.9_speed,H_in-C_out.9_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,H_in-C_out.10_x,H_in-C_out.10_y,H_in-C_out.10_speed,H_in-C_out.10_angle,H_in-C_out.11_x,H_in-C_out.11_y,H_in-C_out.11_speed,H_in-C_out.11_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,scenario,participant_id,source_file
14135,14135,394.2332798093857,1568708047.5204918,394.2332798093857,-80.55028088348244,600.8380481963525,61.12120207177053,687.7636490005525,0.9987112283706664,590.1250243558494,87.9424663181588,721.7984428880809,0.9962284564971924,603.9210918086433,32.51319416836444,715.8153972306343,0.9989897012710572,564.3633252019222,126.29438709689757,726.4595158116953,0.8809307813644409,582.3660044402653,-16.225971203872234,713.4729814577997,0.8819700479507446,486.58447146260994,195.99900143130915,565.0836131969284,0.9672821760177612,465.5725528893589,-81.35201588214156,546.6818171118199,0.966870665550232,590.329798447985,249.6267183164892,397.65251608851304,0.9661917686462402,546.2719571063308,-154.7187981609821,376.06646657756437,0.8290404081344604,739.4921516443575,292.54219965415,235.32446771254024,0.8167304396629333,735.5331559657839,-174.0029856432664,211.73571016104648,0.8297715187072754,415.627706590955,158.44735293422227,117.21729566255621,0.41883066296577454,503.5334647199195,-43.702524452890145,184.5866451837028,0.03422796726226806,864.2766824738243,186.5449361333014,121.15280119851494,0.8203809261322021,711.4237487288217,-60.44261226732375,62.91349712668054,0.8017306327819824,439.31880716036886,180.14290503446986,-605.1949778726384,0.0075383782386779785,1092.16118803909,-5.225992424352612,135.93610244366067,0.005263149738311768,3208.39,411.31307106598985,4.91,359.56667201906134,3206.163327980939,80.03704133430013,6.969983942815709,179.26,3205.5033279809386,107.667089505853,7.9766720190614295,179.26,3204.3,201.07043354397587,7.969983942815709,179.49668807624568,3203.09,469.0637615249144,7.980016057184291,179.77,3204.0566720190614,1085.1229426085156,7.2833279809385685,359.45,3204.196672019061,1070.7429426085157,7.316655961877139,359.45,3202.703327980939,530.4971537345901,9.059983942815707,179.46,3197.23,741.3937615249146,7.9933279809385684,179.64,3204.4166720190615,1047.6862384750857,8.006688076245721,359.45,3205.0766720190613,978.122910494147,7.950016057184291,359.45,3314.763327980939,102.04710556303728,8.113376152491442,178.76,3205.03,371.27387392520444,10.083344038122863,179.77,3017.0662384750863,881.17,7.953311923754279,89.71,3204.663327980939,463.40720190614303,9.923295866569989,179.78334403812286,2891.0562384750856,880.54,7.9933279809385684,89.71,3202.69,774.1337615249146,8.043392209675734,179.99,2766.4027980938567,879.8733279809386,9.976672019061429,89.69,2675.189630684761,879.69,6.976688076245723,89.69,2708.482910494147,879.57,7.946672019061432,89.69,3202.2,934.4403693152386,6.8699839428157095,179.45,3202.04,950.8704014296072,7.53,179.45,2650.4533761524913,832.8996146275771,7.239983942815709,353.93,3199.3433279809387,1232.8737294105458,7.42,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14136,14136,394.26634418880616,1568708047.5539742,394.26634418880616,,614.3980047645292,62.51139720728254,687.0455860363974,0.9977872371673584,589.5506759294594,87.49045220993166,722.4577104562317,0.996127724647522,601.3133613642266,31.436327335118627,716.1383244536603,0.9988607168197632,567.0303893351627,126.76708580481571,727.2630728345233,0.8382992744445801,579.9964761125148,-15.24709601125502,712.0484392637379,0.8608500957489014,478.4837119342279,195.5709885473512,561.2968933365116,0.9637467861175536,461.4023704431015,-78.07622619474105,544.6777534961111,0.9706268310546876,582.8720367037581,247.85370205076183,392.7114118393814,0.9537718892097472,524.9065395256032,-154.6679429549124,375.8069084053184,0.9183247089385986,742.7960307968215,292.4241015041282,236.79683094351464,0.7838188409805298,733.0902131430838,-174.73130782444446,210.6576265514456,0.8087054491043091,416.85438215046264,159.82355641382657,119.03777993822979,0.3766962885856629,503.26510112634315,-42.355807122203174,188.34972223117995,0.06301695108413696,869.1829872678412,186.2601766472866,125.8119524286888,0.77299565076828,715.4555105474861,-62.74729847250991,61.20137742814458,0.7344915866851807,431.9956733642518,179.75036437998534,-612.8846707526304,0.006008505821228027,835.6983711758162,-37.98453358581532,-120.3749783616937,0.008560001850128174,3208.39,411.47508652514983,4.91,359.5633655811194,3206.166634418881,79.80559067835729,6.979903256641831,179.26,3205.5066344188813,107.40588090843184,7.973365581119389,179.26,3204.3,200.80261207067062,7.979903256641831,179.48346232447759,3203.09,468.79924648955114,7.9700967433581695,179.77,3204.05336558112,1085.3643125782844,7.2866344188806105,359.45,3204.1933655811195,1070.9843125782843,7.323268837761218,359.45,3202.706634418881,530.1962678818645,9.06990325664183,179.46,3197.23,741.1292464895513,7.9966344188806096,179.64,3204.4133655811193,1047.9507535104487,7.993462324477561,359.45,3205.07336558112,978.3841190915683,7.94009674335817,359.45,3314.766634418881,101.77597765179001,8.086924648955122,178.76,3205.03,370.9399236930584,10.07673116223878,179.77,3017.330753510449,881.17,7.966537675522439,89.71,3204.666634418881,463.0765581119391,9.946440932164267,179.77673116223878,2891.3207535104493,880.54,7.9966344188806096,89.71,3202.69,773.8692464895512,8.007021392313293,179.99,2766.733441888061,879.8766344188806,9.97336558111939,89.69,2675.417774902762,879.69,6.963462324477562,89.69,2708.744119091569,879.57,7.943365581119392,89.69,3202.2,934.212225097238,6.879903256641829,179.45,3202.04,950.6224185839543,7.53,179.45,2650.4269246489553,833.1376781594039,7.249903256641829,353.93,3199.3466344188805,1232.629053002835,7.42,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14137,14137,394.3,1568708047.5880554,394.3,,614.7411214055388,64.92127883897179,688.0326065414622,0.9977134466171264,592.2925796463456,90.08347646103228,725.4116790863345,0.9949339628219604,605.3164948740105,33.81525937841764,718.3712909354193,0.9988605380058287,566.4625733280212,128.61099775493642,729.2624685253479,0.8447434902191162,568.1115602111511,-15.538788946625795,709.1644859082666,0.8883990645408629,485.9632759694246,196.2078173209106,565.4927348796882,0.9546992778778076,470.5678050401006,-75.86676645450244,546.1952394304599,0.960663378238678,586.0767673200322,249.4709647199966,395.0966197592826,0.9542499780654908,535.5539953592734,-145.0640135113538,372.8900096939233,0.9496274590492249,742.6646077695905,291.923215052916,238.3000648442556,0.7990514039993286,728.9178188215504,-177.13999449892867,208.4575000349219,0.8185579776763916,405.6770134469673,160.3219425977114,111.56041316512821,0.3876059055328369,485.3094611441985,-47.08089412550706,206.7552027449265,0.5274713039398193,872.5139031077443,196.8997312845615,128.46118461103248,0.3188888728618622,723.8521335092241,-57.6839382009406,63.74524122060612,0.6937652826309204,410.25918339680396,200.9291583529282,-635.769157451596,0.010359585285186771,716.735353212325,-69.45756346291023,-265.9155475519071,0.06106770038604736,3208.39,411.64,4.91,359.56,3206.17,79.57,6.99,179.26,3205.51,107.14,7.97,179.26,3204.3,200.53,7.99,179.47,3203.09,468.53,7.96,179.77,3204.05,1085.61,7.29,359.45,3204.19,1071.23,7.33,359.45,3202.71,529.89,9.08,179.46,3197.23,740.86,8.0,179.64,3204.41,1048.22,7.98,359.45,3205.07,978.65,7.93,359.45,3314.77,101.5,8.06,178.76,3205.03,370.6,10.07,179.77,3017.6,881.17,7.98,89.71,3204.67,462.74,9.97,179.77,2891.59,880.54,8.0,89.71,3202.69,773.6,7.97,179.99,2767.07,879.88,9.97,89.69,2675.65,879.69,6.95,89.69,2709.01,879.57,7.94,89.69,3202.2,933.98,6.89,179.45,3202.04,950.37,7.53,179.45,2650.4,833.38,7.26,353.93,3199.35,1232.38,7.42,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14138,14138,394.3331261833325,1568708047.6213017,394.3331261833325,-85.15754232295299,612.1863683154384,63.82514205687832,693.4536836332036,0.9986491203308104,592.5558066223186,90.49266559010715,725.4033458445697,0.9952541589736938,605.4619177829002,34.34221327635532,718.7119199976645,0.9988402724266052,566.0884008078729,129.02087073912892,730.1456686239533,0.8713982105255127,577.4025889178007,-15.05206757939183,713.8799441090338,0.894054114818573,482.069906438816,197.050494162471,564.5180943209489,0.951679229736328,468.0648103701103,-77.24599262620775,552.879988684442,0.8352936506271362,583.6399534590141,247.141573230752,400.8705988006682,0.9705962538719176,532.3983287284747,-143.40893728586784,370.42278369475343,0.9410140514373779,756.6112236061407,286.8630386232744,220.01845411723062,0.9585896134376526,734.7928260750173,-174.58758498686336,214.7389537449931,0.8052477836608887,405.42490027686694,162.1286518396133,113.91043820173375,0.33372658491134644,486.8928028210025,-47.575546884078605,192.02735744063125,0.06435197591781616,865.2871281844083,202.15171092178318,120.97858336616905,0.4657740890979767,725.2247590815541,-64.68470298106027,64.56183005103453,0.7503464221954346,364.9525906526702,213.45400136578576,-682.5687546855128,0.005196213722229004,696.7123377500369,-77.19047504998784,-314.3486156371383,0.036863476037979126,3208.386687381667,411.8023182983292,4.9133126183332525,359.55668738166673,3206.173312618333,79.34142933500556,6.980062145000242,179.26,3205.513312618333,106.87499053333981,7.973312618333253,179.26,3204.303312618333,200.2649905333398,7.980062145000242,179.42693596166768,3203.093312618333,468.26830315167297,7.963312618333252,179.77,3204.0466873816667,1085.848508519994,7.280062145000242,359.45,3204.186687381666,1071.4751337566606,7.326687381666748,359.45,3202.713312618333,529.5918643500073,9.076687381666748,179.46,3197.233312618333,740.5949905333397,7.983436908333738,179.64,3204.406687381667,1048.48500946666,7.996563091666262,359.45,3205.07,978.911696848327,7.923374763333495,359.45,3314.7766252366664,101.22505267834005,8.083188328332767,178.76,3205.033312618333,370.2687381666748,10.060062145000245,179.77,3017.861696848327,881.1733126183333,7.966749526666992,89.71,3204.67,462.41205078500803,9.95343690833374,179.77,2891.8516968483277,880.5433126183333,7.983436908333738,89.71,3202.69,773.3349905333397,7.986563091666261,179.99,2767.4012618333254,879.8833126183333,9.976625236666504,89.69,2675.881883283328,879.6933126183333,6.959937854999758,89.69,2709.2750094666603,879.57,7.943312618333253,89.69,3202.2033126183333,933.7514293350057,6.896625236666504,179.45,3202.043312618333,950.121553625006,7.526687381666747,179.45,2650.3768116716674,833.6185085199942,7.26,353.93,3199.35,1232.1348662433395,7.416687381666748,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14139,14139,394.3663818354155,1568708047.6546779,394.3663818354155,-107.2397294063147,612.7026305120976,65.18203661442955,692.3968351802971,0.9987277388572692,593.2167155758926,92.21038334216944,724.075278303568,0.9935309290885924,597.8008371215527,34.578290309943306,715.172992971357,0.9987968802452089,562.5334240081023,130.41517914521654,729.3900405256844,0.8645651340484619,574.243155951602,-13.342806929832404,712.5076507744017,0.912339687347412,468.9971040813737,200.40734656156027,557.2078862374113,0.9394699335098268,459.84249332295485,-77.40297272571735,549.9721711844812,0.8377736806869507,586.2501399841481,252.41011266811745,395.53045703421685,0.9700394868850708,531.7026855571362,-144.08387010452194,381.5311209722594,0.8993147611618042,743.3704938681692,290.70376667486875,233.55796572244103,0.7965431213378906,711.0097256335691,-177.42714438452907,196.48624176220002,0.8904451131820679,410.485929458774,161.44200562842502,113.89853515532906,0.4380843639373779,485.7787694278718,-48.64120899139619,181.1564408482041,0.10534322261810304,874.8323921508336,204.5630016115279,127.16791231616236,0.4316251873970032,742.2823843915583,-67.18421646811427,70.40047861321331,0.7520498037338257,300.2909573156872,224.01331326823663,-750.8167755766997,0.004543215036392212,658.3721589405111,-81.1331433569611,-361.4274169294494,0.13765311241149902,3208.3833618164585,411.965270993536,4.916638183541551,359.55336181645845,3206.1766381835414,79.111965335633,6.970085449375348,179.26,3205.516638183541,106.60894531667593,7.97663818354155,179.26,3204.306638183541,199.998945316676,7.970085449375348,179.38370361395985,3203.0966381835415,468.00558350021754,7.9666381835415505,179.77,3204.043361816459,1086.0879492149916,7.2700854493753475,359.45,3204.1833618164587,1071.7212255820748,7.3233618164584495,359.45,3202.7166381835414,529.2925634812606,9.07336181645845,179.46,3197.2366381835413,740.3289453166759,7.9668090822922455,179.64,3204.4033618164585,1048.751054683324,8.013190917707753,359.45,3205.07,979.1744164997824,7.916723632916899,359.45,3314.783276367083,100.9490307660513,8.106467284790856,178.76,3205.036638183541,369.93618164584495,10.050085449375349,179.77,3018.124416499783,881.1766381835415,7.953447265833797,89.71,3204.67,462.0828198293865,9.936809082292246,179.77,2892.1144164997827,880.5466381835415,7.9668090822922455,89.71,3202.69,773.0689453166759,8.003190917707753,179.99,2767.733818354155,879.8866381835415,9.983276367083102,89.69,2676.1146728479084,879.6966381835416,6.969914550624652,89.69,2709.541054683324,879.57,7.946638183541551,89.69,3202.206638183541,933.5219653356329,6.9032763670831025,179.45,3202.0466381835413,949.8721362343837,7.52336181645845,179.45,2650.353532715209,833.8579492149918,7.26,353.93,3199.35,1231.8887744179253,7.413361816458449,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14140,14140,394.4,1568708047.688418,394.4,-84.07045885271584,619.2093218708151,68.828191152917,689.7234463134681,0.9978080987930298,593.5138621744103,93.21067674624337,723.4679401636757,0.9987818002700806,607.2733455329105,37.916169060245316,722.4755118330472,0.9947417378425598,569.0950399671665,129.4244371770089,733.1143291202591,0.8536480069160461,571.3738779823625,-12.224942208082854,713.5142380966629,0.9330404996871948,479.48989272931686,199.46312226111075,555.5267938241809,0.9202702045440674,463.5180396500051,-74.05667784730704,549.5583179221918,0.7234208583831787,588.0881174470179,254.8042059477124,391.7242085633296,0.9681739807128906,531.1903487017607,-143.69839337891554,373.0541961851056,0.925697922706604,736.3901418513599,291.88607123486383,232.8636918319497,0.848471999168396,716.0153357771153,-173.74731453253926,199.6736013920336,0.8743786811828613,425.15685943648424,159.3640090236096,121.05910796005621,0.4397023022174835,486.6978952446515,-50.163607795438615,173.31483795046756,0.21082529425621035,878.1275843532387,206.68586843843525,127.5871973145587,0.3789777159690857,818.8573046824553,-57.169618654427474,112.9697440112063,0.6294540762901306,297.9280997690085,230.92181067980724,-751.8272025650783,0.005279660224914551,630.0744224675284,-85.19977214313303,-383.03467531541224,0.14233824610710144,3208.38,412.13,4.92,359.55,3206.18,78.88,6.96,179.26,3205.52,106.34,7.98,179.26,3204.31,199.73,7.96,179.34,3203.1,467.74,7.97,179.77,3204.04,1086.33,7.26,359.45,3204.18,1071.97,7.32,359.45,3202.72,528.99,9.07,179.46,3197.24,740.06,7.95,179.64,3204.4,1049.02,8.03,359.45,3205.07,979.44,7.91,359.45,3314.79,100.67,8.13,178.76,3205.04,369.6,10.04,179.77,3018.39,881.18,7.94,89.71,3204.67,461.75,9.92,179.77,2892.38,880.55,7.95,89.71,3202.69,772.8,8.02,179.99,2768.07,879.89,9.99,89.69,2676.35,879.7,6.98,89.69,2709.81,879.57,7.95,89.69,3202.21,933.29,6.91,179.45,3202.05,949.62,7.52,179.45,2650.33,834.1,7.26,353.93,3199.35,1231.64,7.41,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14141,14141,394.4336140776585,1568708047.7225022,394.4336140776585,-111.87872348507948,617.282630165317,66.85997476230465,694.3846073908232,0.9988167285919192,593.7609119532292,94.95291233250099,722.9705510476256,0.9991258382797241,604.2729192188158,35.998294363047535,721.7156199332628,0.9943540096282959,569.6924866346744,130.56277815357348,733.9382626054788,0.8462368845939636,557.6776637660968,-13.24734747951882,709.8888064305852,0.9375791549682616,479.33807294427663,195.05220403596886,557.7073643573217,0.9830206632614136,449.30302123179337,-76.70289169645699,547.7924006861404,0.8589305877685547,587.8931877628047,257.5840679091129,392.159991344397,0.9676209688186646,550.082075473845,-136.26274374126677,366.68180177386597,0.9343868494033812,738.5357758300087,291.2167516088557,234.6252631967299,0.8304868340492249,716.6631173700036,-171.34389268154268,199.83793758418997,0.8633943796157837,423.59658799933135,159.1898136118054,123.47663066105505,0.3955787420272827,482.5292920681302,-50.85929121347515,169.55733886160778,0.22556743025779724,878.1736203124594,205.26525467245062,126.5268955406928,0.3647713959217072,842.5071516178496,-54.199607557648754,125.40328628942714,0.5040187239646912,266.35338173612456,234.56816414922855,-782.7976945995496,0.006147921085357666,617.1745953566757,-86.13925927114519,-401.0251416350038,0.055127084255218506,3208.38,412.29470898052665,4.9166385922341505,359.55,3206.183361407766,78.64470145639045,6.973445631063403,179.26,3205.523361407766,106.07108737873196,7.973277184468301,179.26,3204.313361407766,199.4644487864978,7.96,179.3131087378732,3203.1,467.471087378732,7.980084223297553,179.77,3204.04,1086.575382766907,7.2667228155317,359.45,3204.1766385922338,1072.2153827669072,7.323361407765851,359.45,3202.7233614077663,528.6841118933078,9.0767228155317,179.46,3197.24,739.7944487864978,7.94663859223415,179.64,3204.396638592234,1049.292274029034,8.03,359.45,3205.066638592234,979.708912621268,7.916722815531701,359.45,3314.796722815532,100.39436456320027,8.106470145639047,178.76,3205.04,369.2604978156491,10.056807038829252,179.77,3018.6589126212675,881.18,7.950084223297551,89.71,3204.67,461.4138592234148,9.933445631063401,179.77,2892.6489126212678,880.55,7.963445631063402,89.71,3202.69,772.5277259709662,8.043529854360953,179.99,2768.4027793688188,879.89,9.986638592234149,89.69,2676.585298543609,879.7,6.983361407765851,89.69,2710.075551213502,879.5733614077658,7.960084223297553,89.69,3202.21,933.0547014563904,6.9234456310634025,179.45,3202.0533614077663,949.3678944175612,7.526722815531699,179.45,2650.303108737873,834.3453827669072,7.26,353.93,3199.353361407766,1231.391255825327,7.396554368936597,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14142,14142,394.466181830152,1568708047.7555256,394.466181830152,-83.9693220704433,620.5116337208208,68.61678939099204,696.4009063234897,0.998818337917328,593.7234321825532,94.47420366786542,723.0437882845032,0.9988948106765748,604.2272964396842,37.45088267674283,721.3897829541495,0.9950248599052428,576.4431435156888,131.720916878384,736.3614874988434,0.8442480564117432,568.6049308891245,-10.704479647097003,711.8573860042802,0.9333204030990601,483.24403029926833,193.4079157876809,560.4629047856356,0.9826978445053101,469.7602545813414,-70.27948677983814,553.0708959082865,0.7874011993408203,586.6917415291907,257.8695623578698,394.6696266876429,0.9517941474914552,552.132914636952,-137.46678440914098,365.2190396600241,0.9227148294448853,753.2909511545618,288.69464287801776,215.4071384276213,0.9716695547103882,707.1453083655538,-173.2681496888085,199.65960854094112,0.8310331106185913,431.2408066522474,160.7235661493844,127.58084113906116,0.33567899465560913,480.7679711756199,-52.660474631585004,168.69569594517438,0.19647440314292908,883.7005762937883,205.5145297420279,133.6363366168699,0.5126436352729797,872.2306507688121,-45.29845360393973,126.97032846624272,0.4892792403697968,302.5274139993965,229.58601379621743,-744.3301108341586,0.008316397666931152,618.6860617956019,-83.5829357276803,-409.6928910753383,0.10327771306037904,3208.38,412.45429096774495,4.913381816984796,359.55,3206.186618183015,78.4167271889357,6.986472732060817,179.26,3205.526618183015,105.81054535878364,7.966763633969591,179.26,3204.316618183015,199.20716354179882,7.96,179.28705453587838,3203.1,467.21054535878363,7.989854549045613,179.77,3204.04,1086.8131273601098,7.273236366030409,359.45,3204.173381816985,1072.45312736011,7.326618183015205,359.45,3202.726618183015,528.3877453456164,9.083236366030409,179.46,3197.24,739.5371635417987,7.943381816984795,179.64,3204.393381816985,1049.5560728242315,8.03,359.45,3205.063381816985,979.9694546412164,7.92323636603041,359.45,3314.8032363660304,100.1273089927532,8.083672718893569,178.76,3205.04,368.9315635154644,10.073090915076023,179.77,3018.9194546412164,881.18,7.9598545490456125,89.71,3204.67,461.0881816984796,9.946472732060819,179.77,2892.9094546412157,880.55,7.9764727320608175,89.71,3202.69,772.2639271757685,8.066327281106433,179.99,2768.725200118505,879.89,9.983381816984796,89.69,2676.8132728110645,879.7,6.986618183015205,89.69,2710.332836458201,879.5766181830153,7.969854549045613,89.69,3202.21,932.8267271889357,6.9364727320608175,179.45,3202.056618183016,949.1236362738596,7.533236366030409,179.45,2650.2770545358785,834.58312736011,7.26,353.93,3199.356618183015,1231.150254456875,7.383527267939183,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14143,14143,394.5,1568708047.7898169,394.5,-79.56196613210024,607.959147568007,70.71314546496394,686.2028568096111,0.997752845287323,596.6424818626738,95.9474821297379,725.6637268153067,0.9988017082214355,597.4460492543707,38.94573962135721,720.3333287903763,0.9952649474143982,573.6610285338875,132.32080810515114,736.2375321030916,0.7828505039215088,573.1087805271084,-8.019370828351306,713.0491214821216,0.9254839420318604,490.0402208583419,199.99913002126755,557.3275839397038,0.8715469837188721,472.9254136130823,-69.03389533603999,553.5504520502861,0.8255031108856201,585.8384725353396,254.1511957101674,385.760297174038,0.9517734050750732,557.7695633801325,-140.51444031564256,364.1723521602914,0.9166426658630372,759.7033116721283,288.7286421819366,213.5517638973226,0.9621738195419312,739.9219059821578,-171.60963514119715,215.9671304952529,0.8422687649726868,431.5716316884567,164.47813417535906,161.7301353881133,0.717971920967102,469.7868072799427,-51.74304542142785,161.32084153268582,0.2702255249023437,866.9477206420505,198.7743008732188,123.34562060391231,0.7500039339065552,873.7895525361557,-41.635881474465094,115.10776342166879,0.4671064913272858,286.3035263150085,230.6241775737962,-761.4709870869477,0.0077282488346099845,616.6287167853459,-78.30644356147403,-417.2243067178277,0.12106636166572572,3208.38,412.62,4.91,359.55,3206.19,78.18,7.0,179.26,3205.53,105.54,7.96,179.26,3204.32,198.94,7.96,179.26,3203.1,466.94,8.0,179.77,3204.04,1087.06,7.28,359.45,3204.17,1072.7,7.33,359.45,3202.73,528.08,9.09,179.46,3197.24,739.27,7.94,179.64,3204.39,1049.83,8.03,359.45,3205.06,980.24,7.93,359.45,3314.81,99.85,8.06,178.76,3205.04,368.59,10.09,179.77,3019.19,881.18,7.97,89.71,3204.67,460.75,9.96,179.77,2893.18,880.55,7.99,89.71,3202.69,771.99,8.09,179.99,2769.06,879.89,9.98,89.69,2677.05,879.7,6.99,89.69,2710.6,879.58,7.98,89.69,3202.21,932.59,6.95,179.45,3202.06,948.87,7.54,179.45,2650.25,834.83,7.26,353.93,3199.36,1230.9,7.37,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
14144,14144,394.5328478140933,1568708047.8227494,394.5328478140933,-79.4940233318811,621.9284714190676,74.28393195929722,691.8146182510764,0.9977787137031556,593.0207397191324,97.40886055375971,725.0653200393318,0.9990291595458984,606.9876129727983,42.2182060881688,723.4006414578148,0.9960510730743408,573.4109740490132,134.69514175280648,735.8972903390309,0.8198615908622742,551.7895819904545,-7.349380837045437,703.6044121897404,0.93083918094635,489.67325670063036,199.28669183597248,559.3675034729516,0.9792786240577698,468.99822120228276,-67.63217037468915,552.4400654028836,0.8657761216163635,588.1316349237991,257.65014284842283,390.85288836487985,0.9598020315170288,556.9462693330562,-139.9009103583432,366.91006186510765,0.9403753280639648,759.458843876379,289.3247766611608,214.93505811306733,0.9662559628486632,720.9771208805188,-179.37409940152222,221.26060656062032,0.6063542366027832,442.4307527782944,162.71499001141862,153.23419527312987,0.3257652521133423,470.82593558192,-50.510477379786884,158.99443897154626,0.332017183303833,865.3742893109375,198.08726311240486,120.70378222475351,0.3693682253360748,874.6471425031075,-37.90050826089234,110.8639009166757,0.567967414855957,278.7531835570774,230.6601525567147,-768.9889155135913,0.005868583917617798,609.5321411414636,-72.59170867427908,-427.1801122942562,0.0926479697227478,3208.38,412.78095428905715,4.906715218590669,359.56642390704667,3206.193284781409,77.95006530134684,6.993430437181338,179.26,3205.5332847814093,105.27721748725355,7.966569562818662,179.26,3204.3265695628193,198.67721748725356,7.96,179.26,3203.1,466.6772174872535,7.996715218590668,179.77,3204.036715218591,1087.299789042881,7.273430437181338,359.45,3204.17,1072.939789042881,7.323430437181338,359.45,3202.733284781409,527.7810848917509,9.083430437181338,179.46,3197.2432847814093,739.0072174872536,7.943284781409331,179.64,3204.39,1050.0927825127465,8.03328478140933,359.45,3205.056715218591,980.4962129499278,7.9135760929533445,359.45,3314.8165695628186,99.57736314302555,8.089563032683978,178.76,3205.0432847814095,368.2615218590669,10.070291311544015,179.77,3019.4494977313375,881.18,7.960145655772008,89.71,3204.673284781409,460.42480664047616,9.950145655772008,179.77,2893.4427825127464,880.55,7.99,89.71,3202.69,771.7272174872536,8.050582623088031,179.99,2769.3884781409333,879.8932847814093,9.963576092953346,89.69,2677.279934698653,879.7,6.980145655772008,89.69,2710.8627825127464,879.58,7.970145655772008,89.69,3202.213284781409,932.3666348641657,6.9171521859066925,179.45,3202.0632847814095,948.6236413943002,7.5268608743626775,179.45,2650.223721748725,835.0665042614717,7.256715218590668,353.93,3199.363284781409,1230.660210957119,7.350291311544014,179.45,,,,,,,,,,,,,,,,,2c,14,1568707580
