,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,E_in-C_out.10_x,E_in-C_out.10_y,E_in-C_out.10_speed,E_in-C_out.10_angle,E_in-C_out.11_x,E_in-C_out.11_y,E_in-C_out.11_speed,E_in-C_out.11_angle,E_in-C_out.12_x,E_in-C_out.12_y,E_in-C_out.12_speed,E_in-C_out.12_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,E_in-C_out.13_x,E_in-C_out.13_y,E_in-C_out.13_speed,E_in-C_out.13_angle,E_in-C_out.14_x,E_in-C_out.14_y,E_in-C_out.14_speed,E_in-C_out.14_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,K_in-H_out.0_x,K_in-H_out.0_y,K_in-H_out.0_speed,K_in-H_out.0_angle,scenario,participant_id,source_file
13809,13809,410.0,1568378558.1667473,410.0,-101.58364461753577,574.1943155753718,74.09525210523165,674.0564725247,0.993055522441864,607.8865466368693,100.71128330524944,737.8967697566108,0.8939024209976196,624.4110035780689,38.07651759369175,742.908376280028,0.8949032425880432,538.3289416642286,146.89452828365347,730.397144687027,0.3412405252456665,590.5096895522013,-5.410927995856287,763.4902272396954,0.7716354131698608,468.8654672772194,194.42555385950612,597.532809923763,0.54838627576828,466.9664084022203,-70.18507518626771,610.7550700419449,0.8827446699142456,600.6908224965157,269.6196780360237,396.31869346724227,0.8935691118240356,577.6190916420883,-160.2039843234341,413.91364883457055,0.7965482473373413,783.3896309524182,302.82420319853964,212.3576643489032,0.8213801980018616,763.1237484709834,-202.00668677872196,192.3062294760585,0.4305647015571594,443.2690835139145,143.82794444345956,219.52008686000252,0.02653253078460693,396.8960357844389,-42.449380748855006,212.6444114955836,0.5116960406303406,720.7074835786455,175.047182495521,163.67963426317857,0.9156422019004822,708.4602758112892,-86.36020496244234,44.69212420260976,0.5137914419174194,488.45227008061005,190.31175156260826,-383.65610781796806,0.03359028697013855,413.7738404061061,-100.60397662523529,-631.6498337638334,0.008160650730133057,3210.13,760.56,5.29,0.17,3206.01,68.45,7.99,179.26,3204.84,159.33,7.26,179.26,3205.96,157.49,7.99,179.26,3205.5,108.51,8.28,179.26,3203.25,428.19,7.95,179.77,3208.01,70.81,8.06,179.26,3205.36,288.22,6.84,179.77,3205.31,302.01,6.94,179.77,3197.26,736.93,8.0,179.64,3205.25,317.07,6.97,179.77,3196.85,801.23,7.97,179.64,3205.19,330.92,6.88,179.77,3133.09,881.75,8.0,89.71,3115.29,881.66,7.99,89.71,3204.62,473.57,7.93,179.77,3003.59,881.1,7.95,89.71,3202.69,771.11,7.39,179.99,3202.69,798.61,8.81,179.99,3202.68,860.55,8.46,179.99,3202.44,908.74,8.54,179.45,3200.85,1075.64,6.55,179.45,2691.63,695.06,7.96,322.4,2695.08,689.7,7.96,322.4,2718.61,660.03,7.62,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13810,13810,410.03278385205596,1568378558.1998248,410.03278385205596,-78.38711992708926,593.3252403334477,81.80865289260174,688.2856990391124,0.9865249991416932,603.6782225937262,103.49224238270763,736.8452154943947,0.9685382843017578,619.4929732930617,41.81971357578229,734.5828850679675,0.9141727089881896,531.4491730625155,150.1622942235231,726.1144990868958,0.3144378662109375,578.7562994402127,-6.550989892127272,755.2242791701506,0.7921110391616821,477.04335939681283,199.067281356045,589.6078364651966,0.27186015248298645,469.7780076611349,-66.64808252367827,592.7562095563013,0.26438218355178833,603.2499886325343,274.9255034409282,397.5509394744716,0.5052340030670166,581.1718115777934,-161.5996101003173,415.93584195143836,0.7139313220977783,780.7913684117093,298.5620366298883,208.55793655686887,0.8785242438316345,766.159439351723,-204.866525808556,191.7984465965948,0.5432584881782532,469.5578715256957,141.10216391557125,221.3272095750763,0.006062924861907959,398.10612433648964,-42.29082145356024,216.19194842315656,0.5186803340911865,717.1005932607046,181.8108751542511,144.58827953678988,0.7117586135864258,761.5611991163263,-85.61617151311087,77.56920634150191,0.5615497827529907,513.432958333249,185.47532575615296,-367.87566074260945,0.027789294719696045,381.90003850924245,-116.24333244591342,-667.4147013497518,0.00630226731300354,3210.13,760.7337544158966,5.296556770411191,0.1437729183552406,3206.016556770412,68.18772918355239,7.98344322958881,179.26,3204.8432783852063,159.09067787999157,7.273113540822378,179.26,3205.9632783852057,157.231007568758,7.980164844383214,179.26,3205.5032783852057,108.24117241314121,8.270164844383215,179.26,3203.2532783852057,427.931007568758,7.959835155616785,179.77,3208.0132783852064,70.5477291835524,8.037051303560835,179.26,3205.3632783852063,287.9905130356084,6.869505466850353,179.77,3205.31,301.78379142081394,6.9334432295888115,179.77,3197.26,736.6677291835524,7.983608073972025,179.64,3205.25,316.84051303560835,6.95688645917762,179.77,3196.8532783852056,800.9677291835524,7.960164844383216,179.64,3205.1932783852058,330.693791420814,6.899670311233571,179.77,3133.352270816448,881.75,7.983608073972025,89.71,3115.5522708164476,881.66,7.986721614794406,89.71,3204.62,473.3077291835524,7.943113540822378,179.77,3003.848992431242,881.1032783852057,7.953278385205595,89.71,3202.69,770.8706778799916,7.3604945331496445,179.99,3202.69,798.3215021019076,8.83622708164476,179.99,3202.68,860.2713372575246,8.453443229588808,179.99,3202.4432783852058,908.4613372575244,8.54,179.45,3200.85,1075.4269049616364,6.546721614794405,179.45,2691.4726375101313,695.2665382679526,7.966556770411191,322.4,2694.9193591249264,689.9098166531581,7.966556770411191,322.4,2718.455915895337,660.2299814975413,7.626556770411191,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13811,13811,410.0664139021284,1568378558.233756,410.0664139021284,-90.03241187061472,573.5571612520836,79.30621715934747,678.5820709070098,0.9927064180374146,630.2874897078625,98.79988136612286,744.9208064737172,0.9755445718765259,615.797741489391,38.54827989112042,731.7587620468544,0.9328635931015016,533.9025392171918,150.31061804164975,722.567419674543,0.3896743357181549,577.9682514024462,-1.6664742715877026,752.6378212225595,0.8060895204544067,474.66581769221466,196.86833868616569,582.3913598036662,0.2820158898830414,472.01390426293716,-78.55071225027272,589.6858162537355,0.06896954774856567,607.1711379137453,271.89352267021513,399.8097195357528,0.6060107350349426,580.9632392928728,-163.56844641010818,417.84283525416055,0.7500379085540771,782.9354436285823,295.74972771143536,211.11976285784363,0.8891748189926147,769.9396579512245,-204.10914176459758,185.57435441698829,0.44604742527008057,437.8329878895957,148.0226022365951,221.00086565878976,0.05268299579620361,391.25801402696135,-42.27936774341568,210.1153367773837,0.6370527148246765,705.4060873307852,179.6804523944436,157.57093070731432,0.18897682428359985,749.6755513972442,-86.73332957995346,70.02914951856823,0.599273145198822,532.9566462408179,175.4150439726875,-387.1075468156624,0.0194871723651886,306.3174736467656,-127.289883667876,-750.7476674770534,0.007209926843643188,3210.13,760.9119936812804,5.303282780425672,0.11686887829731248,3206.0232827804252,67.91868878297313,7.9767172195743274,179.26,3204.846641390213,158.84517851446302,7.286565560851343,179.26,3205.966641390213,156.96533017318598,7.970075829361493,179.26,3205.506641390213,107.96540600254744,8.260075829361492,179.26,3203.256641390213,427.665330173186,7.9699241706385076,179.77,3208.016641390213,70.27868878297313,8.013510268510151,179.26,3205.366641390213,287.7551026851014,6.899772511915523,179.77,3205.31,301.5517440753144,6.9267172195743285,179.77,3197.26,736.3986887829732,7.966793048935821,179.64,3205.25,316.6051026851015,6.943434439148656,179.77,3196.856641390213,800.6986887829731,7.950075829361492,179.64,3205.196641390213,330.46174407531436,6.919848341277016,179.77,3133.621311217027,881.75,7.966793048935821,89.71,3115.821311217027,881.66,7.983358609787165,89.71,3204.62,473.0386887829731,7.956565560851343,179.77,3004.114669826814,881.1066413902129,7.956641390212837,89.71,3202.69,770.6251785144631,7.3302274880844775,179.99,3202.69,798.0255576612705,8.863131121702688,179.99,3202.68,859.9854818319088,8.446717219574328,179.99,3202.446641390213,908.1754818319088,8.54,179.45,3200.85,1075.2083096361657,6.543358609787163,179.45,2691.311213269784,695.4784075834089,7.973282780425673,322.4,2694.754571879571,690.1250489736217,7.973282780425673,322.4,2718.297854659997,660.4351248029831,7.633282780425673,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13812,13812,410.1,1568378558.267643,410.1,-78.28265349744781,582.5320739305347,78.97694002264313,682.6904276597309,0.9938955307006836,622.860370830352,97.36907923302427,741.0385060239122,0.978524088859558,628.5554333478121,44.725076700610465,739.124279208104,0.9696432948112488,549.796143187967,147.1961650531733,729.1177662652043,0.3571590483188629,557.5792737269213,-1.4526007347601069,733.655058018121,0.4370393455028534,470.26752861803885,189.02486922475757,572.0344814346795,0.2586103677749634,472.4015795001675,-83.92160989166939,589.5014887704681,0.05783718824386596,595.5370160482852,269.4812705765018,394.7758800565943,0.9395878314971924,585.1199582757586,-175.41184383989292,416.7450804481252,0.8779142498970032,787.9373675678457,294.4703820698514,220.15591933230544,0.926931858062744,754.8252153716603,-205.03721959161072,190.2964948108252,0.2556940317153931,439.45002122931777,152.83421764046966,212.13498956382443,0.11366522312164308,400.94394896805466,-50.00736389036685,186.3810259695836,0.3449796438217163,750.1269397110616,178.77608388782002,110.9425092669742,0.11755403876304625,738.7019543336548,-85.83884061076644,61.339970741652785,0.5609702467918396,562.7989589284205,175.93919393385366,-410.7225927722375,0.01668769121170044,571.8654352163172,-86.36043271476238,-456.5243890009781,0.007389962673187256,3210.13,761.09,5.31,0.09,3206.03,67.65,7.97,179.26,3204.85,158.6,7.3,179.26,3205.97,156.7,7.96,179.26,3205.51,107.69,8.25,179.26,3203.26,427.4,7.98,179.77,3208.02,70.01,7.99,179.26,3205.37,287.52,6.93,179.77,3205.31,301.32,6.92,179.77,3197.26,736.13,7.95,179.64,3205.25,316.37,6.93,179.77,3196.86,800.43,7.94,179.64,3205.2,330.23,6.94,179.77,3133.89,881.75,7.95,89.71,3116.09,881.66,7.98,89.71,3204.62,472.77,7.97,179.77,3004.38,881.11,7.96,89.71,3202.69,770.38,7.3,179.99,3202.69,797.73,8.89,179.99,3202.68,859.7,8.44,179.99,3202.45,907.89,8.54,179.45,3200.85,1074.99,6.54,179.45,2691.15,695.69,7.98,322.4,2694.59,690.34,7.98,322.4,2718.14,660.64,7.64,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13813,13813,410.1487477244959,1568378558.3006508,410.1487477244959,-78.70911014657513,576.1467003687177,75.24265341491815,671.2969781707027,0.991755485534668,620.2100380080137,97.81377793835337,732.9008857581531,0.9169727563858032,631.7137776327658,39.87220792060542,734.6383497102935,0.9338274002075196,549.8891426948761,146.551892054497,725.7594320413541,0.3875803053379059,562.3239853749527,-1.1458863400853192,731.2433964828142,0.7052501440048218,464.1357002583056,190.83497391081693,595.0698910900887,0.7843776941299438,459.79170234509684,-91.33118715749724,605.7040934464666,0.7173935770988464,592.2494920992609,266.60418022808125,398.88634540605364,0.845260739326477,582.7645094832351,-178.17803036199766,414.1338024923851,0.8764201402664185,785.3079459688269,292.9469596672792,216.84511666023602,0.9097252488136292,769.3099002084455,-204.04081957954037,188.7721202419484,0.6091340780258179,433.67884724654084,153.87217071334283,205.9314242118626,0.0826132595539093,392.9124660191516,-58.655670335576886,171.51838881052083,0.35372641682624817,726.2761604126898,170.87774774455025,96.34153645914131,0.3152709901332855,744.3867049938233,-82.24818180761862,65.75852010280903,0.41817349195480347,575.2417721758658,187.41682167960167,-426.8222487025634,0.03034928441047668,721.7846747022113,-65.6409081782933,-287.4333433728287,0.00812450051307678,3210.1251252275506,761.3483629398282,5.305125227550413,175.49893705349155,3206.0348747724493,67.26001820403303,7.974874772449588,179.26,3204.8548747724485,158.24901638362974,7.290250455100826,179.26,3205.974874772449,156.31001820403304,7.974624317348762,179.26,3205.5148747724493,107.28539388668429,8.245125227550414,179.26,3203.26,427.010018204033,7.9897495448991736,179.77,3208.0248747724486,69.62001820403303,7.99,179.26,3205.37,287.18851547342814,6.910500910201652,179.77,3205.31,300.97876592852884,6.939499089798348,179.77,3197.2648747724493,735.7448929764827,7.95,179.64,3205.25,316.0385154734281,6.895876592852892,179.77,3196.86,800.040018204033,7.9643738622479345,179.64,3205.2,329.8936407009785,6.9058765928528905,179.77,3134.2799817959667,881.7548747724496,7.969499089798348,89.71,3116.475107023517,881.6648747724496,7.970250455100826,89.71,3204.624874772449,472.380018204033,7.979749544899174,179.77,3004.769981795967,881.11,7.955125227550412,89.71,3202.69,770.0192668387306,7.309749544899174,179.99,3202.69,797.2961452519867,8.860751365302479,179.99,3202.68,859.2856443417851,8.459499089798348,179.99,3202.454874772449,907.4707695693356,8.554624317348761,179.45,3200.8548747724485,1074.6731397907768,6.515626137752066,179.45,2690.9111361499704,696.0019854367737,7.9751252275504125,322.4,2694.35601092242,690.647110664324,7.960500910201652,322.4,2717.915760467319,660.9324863469752,7.64,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13814,13814,410.2,1568378558.3353546,410.2,,578.0747293368203,71.29687835804606,674.0069203473042,0.9948253035545348,607.3383016789151,96.7651808271378,730.5979109065395,0.9467393159866332,639.0991987511402,40.73535595214428,743.0349075316597,0.9708923101425172,546.5432431542354,143.20794669893618,724.0266843020372,0.4307908117771149,571.1000687061132,-2.8357396489778672,734.2450325177272,0.7184402942657471,463.68055937234976,191.3766482171276,597.5523629323792,0.7600547075271606,463.68522901554985,-92.38336227773942,613.0542913203683,0.718820333480835,595.5379237188151,263.94072214705426,391.7164192016812,0.9515331983566284,582.2841739956917,-177.89432980955658,414.3534478775766,0.8623892068862915,784.7153302893988,299.4788679565847,217.79126384728596,0.9049952030181884,771.9077243611882,-204.26562921597986,189.48387683581325,0.6078379154205322,415.38350904072547,156.65887780642163,194.39247097119488,0.07410138845443726,403.31687030037557,-62.64244786504782,176.7378801163505,0.22415131330490112,723.5000437063667,171.0472170430106,90.80094162948812,0.05566224455833435,716.0198681539032,-81.5351686965725,50.3567767554872,0.4980394244194031,574.6795655956739,197.48597480100028,-440.08049795185656,0.046995967626571655,774.970626659861,-53.9528137085527,-226.76337784512788,0.00939178466796875,3210.12,761.62,5.3,359.92,3206.04,66.85,7.98,179.26,3204.86,157.88,7.28,179.26,3205.98,155.9,7.99,179.26,3205.52,106.86,8.24,179.26,3203.26,426.6,8.0,179.77,3208.03,69.21,7.99,179.26,3205.37,286.84,6.89,179.77,3205.31,300.62,6.96,179.77,3197.27,735.34,7.95,179.64,3205.25,315.69,6.86,179.77,3196.86,799.63,7.99,179.64,3205.2,329.54,6.87,179.77,3134.69,881.76,7.99,89.71,3116.88,881.67,7.96,89.71,3204.63,471.97,7.99,179.77,3005.18,881.11,7.95,89.71,3202.69,769.64,7.32,179.99,3202.69,796.84,8.83,179.99,3202.68,858.85,8.48,179.99,3202.46,907.03,8.57,179.45,3200.86,1074.34,6.49,179.45,2690.66,696.33,7.97,322.4,2694.11,690.97,7.94,322.4,2717.68,661.24,7.64,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13815,13815,410.2,1568378558.3353546,410.2,,576.0192268636738,71.87348073967283,678.6432837089515,0.9947738647460938,611.8425913162909,97.26233131347188,733.7795416004942,0.9514949321746826,633.730181021345,44.862859877226704,747.5213098410713,0.9736568927764891,529.3035486984758,143.25966278060125,717.1847159527748,0.499778687953949,579.3058821583976,-0.9929193014067934,733.5137877894932,0.40094777941703796,465.00737099895247,187.29321950386296,578.903330428957,0.047490537166595466,466.6067843135521,-90.10394712335774,597.3397140394518,0.11079990863800047,601.5639535486247,263.93853071190966,389.57139749452904,0.8785271644592285,581.6196223295559,-165.4457492485639,416.68576545433746,0.738933801651001,775.7043419343631,304.70628464207766,209.7396972664399,0.9196822643280028,776.0407162496118,-203.11718526064644,189.88938367046987,0.6766557097434998,435.5833261507454,160.91802338546103,173.5323202092854,0.03545483946800232,396.0471337064543,-52.63379283948743,194.03044072885362,0.7122262120246887,733.0412745326092,172.66937372294655,41.593813877371424,0.0458216667175293,703.4149076015295,-79.89701795038062,45.8995432740069,0.41471219062805176,562.5087913371194,203.37627596888126,-450.9230734029004,0.1066938042640686,501.6494696700463,-90.25097642773048,-528.2099312728491,0.006331443786621094,3210.12,761.62,5.3,359.92,3206.04,66.85,7.98,179.26,3204.86,157.88,7.28,179.26,3205.98,155.9,7.99,179.26,3205.52,106.86,8.24,179.26,3203.26,426.6,8.0,179.77,3208.03,69.21,7.99,179.26,3205.37,286.84,6.89,179.77,3205.31,300.62,6.96,179.77,3197.27,735.34,7.95,179.64,3205.25,315.69,6.86,179.77,3196.86,799.63,7.99,179.64,3205.2,329.54,6.87,179.77,3134.69,881.76,7.99,89.71,3116.88,881.67,7.96,89.71,3204.63,471.97,7.99,179.77,3005.18,881.11,7.95,89.71,3202.69,769.64,7.32,179.99,3202.69,796.84,8.83,179.99,3202.68,858.85,8.48,179.99,3202.46,907.03,8.57,179.45,3200.86,1074.34,6.49,179.45,2690.66,696.33,7.97,322.4,2694.11,690.97,7.94,322.4,2717.68,661.24,7.64,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13816,13816,410.2327009409674,1568378558.368091,410.2327009409674,,580.122860438302,72.24351718344963,678.8746225967172,0.9950099587440492,611.3966294066256,96.28832315472313,735.5661581795152,0.9441444873809814,635.0140204840851,40.60597086095893,744.0858181865211,0.9677360653877258,529.0654695320671,140.13954747580874,719.8299136339749,0.4394446909427643,577.0446577252122,-10.307156731408764,739.0962363608443,0.7099114656448364,462.739838817016,187.00869153390786,597.3258312338013,0.8304077982902527,462.4241389935394,-98.80885374257078,608.5618209920551,0.7594184875488281,584.7798973559128,257.6896089272447,395.0677212820665,0.9458844661712646,578.1274973598561,-177.4270066584246,412.7266411226843,0.85892653465271,778.9167618273285,307.4829979318674,211.0348931220018,0.851445198059082,777.4845547031923,-202.926216978108,188.51140724221847,0.5338089466094971,416.4191564476058,158.32368044993785,180.00106974606211,0.0693742036819458,410.5389575965506,-58.738229775800725,191.7420084300124,0.24152049422264105,689.7596859815583,184.93781399437862,43.57603765869221,0.06989657878875732,680.6332403238729,-85.18874623287508,41.141072087528464,0.4177684783935547,557.2660835451625,204.61404635725972,-462.8015962016909,0.008822232484817505,467.33083064423363,-106.2004205344868,-568.5347503431083,0.0077755749225616455,3210.12,761.7867747989341,5.254218682645568,359.8545981180651,3206.0432700940974,66.58839247226038,7.9832700940967465,179.26,3204.8632700940975,157.6412831309376,7.270189717709764,179.26,3205.9832700940965,155.6383924722604,7.980189717709764,179.26,3205.5232700940974,106.5918522840669,8.249810282290236,179.26,3203.26,426.33839247226035,7.996729905903255,179.77,3208.033270094097,68.94512237816365,8.022700940967452,179.26,3205.37,286.61436350732464,6.870379435419529,179.77,3205.3132700940973,300.3943635073246,6.9501897177097645,179.77,3197.27,735.0783924722605,7.95,179.64,3205.2532700940974,315.46436350732466,6.869810282290236,179.77,3196.8632700940975,799.3716625663571,7.98345981180651,179.64,3205.2,329.31763360142133,6.860189717709765,179.77,3134.9483374336432,881.76,7.98345981180651,89.71,3117.14160752774,881.67,7.95345981180651,89.71,3204.63,471.70839247226036,7.999810282290236,179.77,3005.441607527739,881.11,7.95654018819349,89.71,3202.69,769.4045532250342,7.310189717709764,179.99,3202.69,796.5522317194865,8.84308037638698,179.99,3202.68,858.5720420017767,8.506160752773964,179.99,3202.4632700940965,906.7553120958734,8.534028964935802,179.45,3200.8632700940975,1074.1241737896148,6.516160752773963,179.45,2690.503035483356,696.5327458339982,7.960189717709764,322.4,2693.9497653892595,691.1760159280949,7.949810282290236,322.4,2717.526305577453,661.4394757399015,7.6367299059032545,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13817,13817,410.26620924201035,1568378558.401636,410.26620924201035,,571.2570819172347,70.83273094640863,671.777616178926,0.996855616569519,597.2085024426452,94.49846503835691,732.8176635473567,0.9655287265777588,631.7669324209068,37.8495935158063,741.9953919539156,0.97118079662323,524.5904327216582,135.13791610996202,722.6827732297647,0.4369698166847229,575.4305116383059,-15.1939781408973,738.6288623763396,0.6548346877098083,452.03151486562854,194.3395391595554,631.8816922272513,0.9544385671615601,461.95504867625084,-98.23465757734509,610.1354893910375,0.8608025312423706,586.7072070076075,268.53567432857,417.34236150159416,0.8166416883468628,583.9140253566175,-179.38723658583604,417.2863766276975,0.8116915225982666,789.0313878708072,309.06030623376057,217.3581674248797,0.8428549766540527,783.7016633242978,-198.5423432706937,190.2653892423926,0.3250357806682587,407.10133593496016,157.15872438868968,184.09517035092026,0.15019595623016355,409.24487851380724,-60.76164609329129,185.38766504031275,0.2639872431755066,684.6168561225362,183.42180507364188,36.08701386248774,0.037127166986465454,723.8114329989861,-85.92830509546026,69.21199068706747,0.23309049010276794,541.8698794741754,205.5064341436081,-480.49129104742,0.024356245994567868,508.17713299180684,-104.17141254388744,-520.4759523579453,0.005238443613052368,3210.12,761.9576671342528,5.207307061185518,359.7875815159793,3206.046620924201,66.32032606391725,7.986620924201035,179.26,3204.866620924201,157.3966725333245,7.260137227396897,179.26,3205.986620924201,155.37032606391725,7.970137227396897,179.26,3205.526620924201,106.3170842155152,8.259862772603103,179.26,3203.26,426.07032606391726,7.9933790757989645,179.77,3208.036620924201,68.67370513971622,8.056209242010343,179.26,3205.37,286.38315623012863,6.8502744547937935,179.77,3205.316620924201,300.1631562301286,6.940137227396897,179.77,3197.27,734.8103260639173,7.95,179.64,3205.256620924201,315.23315623012866,6.8798627726031025,179.77,3196.866620924201,799.1069469881185,7.976758151597932,179.64,3205.2,329.0897771543297,6.850137227396897,179.77,3135.2130530118816,881.76,7.976758151597932,89.71,3117.409673936083,881.67,7.9467581515979315,89.71,3204.63,471.4403260639172,8.009862772603103,179.77,3005.7096739360827,881.11,7.963241848402069,89.71,3202.69,769.1632934575255,7.300137227396897,179.99,3202.69,796.257358670309,8.856483696804137,179.99,3202.68,858.287221442912,8.532967393608278,179.99,3202.466620924201,906.4738423671132,8.497169833788623,179.45,3200.866620924201,1073.9030190027318,6.542967393608277,179.45,2690.3421956383504,696.7404973004643,7.950137227396897,322.4,2693.785574714149,691.3871182246652,7.959862772603103,322.4,2717.3688165625517,661.6438763762633,7.633379075798964,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
13818,13818,410.3,1568378558.4354634,410.3,,574.717923638194,63.327050338628254,671.0788612520416,0.9950563311576844,603.4331674682196,89.05516282399569,738.4024534196002,0.9705715179443359,631.3860606805025,31.90785278677573,745.8167651376068,0.954604983329773,507.75439054580653,136.36718572245414,725.9452289535768,0.5481866002082825,576.8791905193997,-29.61201075218089,749.1205539002337,0.7764354944229126,451.7809145598494,189.40143354856133,632.9161992484878,0.9385862350463868,457.82074814473,-99.85541106383788,608.8766405201104,0.7635109424591064,584.754382098038,262.49854734295104,403.9003857322537,0.9067407250404358,585.8608982093795,-179.99106346942867,415.50127127228524,0.7921082973480225,777.4966444368947,314.04112901667463,208.90646812831062,0.831752598285675,783.057293821739,-196.25004071100415,193.58770810769755,0.585608720779419,422.9354780945214,160.1927315224373,170.54009568169622,0.02308365702629089,412.756601050342,-63.39269750903763,192.86142306199486,0.15937680006027222,710.2782346802662,183.80772230714885,35.51559854908163,0.13712835311889648,727.9008538092728,-93.65437047228384,92.1445033735578,0.4490128457546234,519.3474274928876,186.6158178672036,-506.8878895129145,0.02228569984436035,658.4875981269372,-69.00334126339075,-319.3622559824991,0.011607766151428223,3210.12,762.13,5.16,359.72,3206.05,66.05,7.99,179.26,3204.87,157.15,7.25,179.26,3205.99,155.1,7.96,179.26,3205.53,106.04,8.27,179.26,3203.26,425.8,7.99,179.77,3208.04,68.4,8.09,179.26,3205.37,286.15,6.83,179.77,3205.32,299.93,6.93,179.77,3197.27,734.54,7.95,179.64,3205.26,315.0,6.89,179.77,3196.87,798.84,7.97,179.64,3205.2,328.86,6.84,179.77,3135.48,881.76,7.97,89.71,3117.68,881.67,7.94,89.71,3204.63,471.17,8.02,179.77,3005.98,881.11,7.97,89.71,3202.69,768.92,7.29,179.99,3202.69,795.96,8.87,179.99,3202.68,858.0,8.56,179.99,3202.47,906.19,8.46,179.45,3200.87,1073.68,6.57,179.45,2690.18,696.95,7.94,322.4,2693.62,691.6,7.97,322.4,2717.21,661.85,7.63,322.4,,,,,,,,,,,,,,,,,,,,,3a,11,1568378102
