,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,scenario,participant_id,source_file
26645,26645,872.465953520738,1568027482.8102634,872.465953520738,-102.96442175466076,629.7199200643166,97.13839793451343,660.1792533096889,0.030640929937362667,619.4947624949884,131.97272866728,669.0798815283665,0.9562300443649292,635.3545205395352,72.28351242429417,670.2665608638872,0.9424296617507936,590.8872524875151,163.4100415153867,689.3314130902895,0.2781380414962769,603.8515178631943,23.475847026938553,678.8952851296729,0.46986123919487,444.19747046129095,227.08533970822103,560.9840935188023,0.963830828666687,465.78533539012085,-38.7213342360461,551.8335992585738,0.9858746528625488,555.2734157573346,262.7949228982006,351.56380364754347,0.7728534936904907,562.0639923759504,-150.2214404883556,336.27267473369665,0.6754769086837769,716.8278884702291,309.88644998982153,186.21354117262314,0.690280020236969,752.7363656929148,-165.22352592229302,180.9082238017136,0.9326633810997008,419.8210067398462,177.18604583086508,142.7967252912611,0.01899275183677673,380.02811618172615,-25.968086288923768,120.06580941823515,0.7912951707839966,650.149771616094,211.12443824709823,20.734765239762627,0.5346829891204834,819.9246176117994,-15.317879070782098,89.96309410033876,0.4518447518348694,240.7635557229776,277.31689444914355,-781.6342744508655,0.002732396125793457,458.241582886452,-50.767625200732354,-548.4957355257247,0.045421719551086426,1762.793404647926,1596.8291257723554,5.9534046479261855,359.02340464792616,1761.063404647926,820.7055625382425,7.823832535483298,180.37,1761.1634046479264,836.2989671861686,7.896167464516702,180.37,1761.263404647926,851.3389671861688,7.9134046479261855,180.37,1485.9587532423902,867.3968092958522,7.6397860562214435,268.61,2639.948930281107,859.9923718340947,8.177451127188037,165.31897815210942,2628.5899630949384,872.9427812691213,9.013190704147627,102.81267055393698,1760.6265953520738,1167.8696090175042,8.79638140829526,179.85,1760.58,1184.8596090175042,8.81,179.85,1760.54,1201.8562043695779,8.790427887557112,179.85,93.09103281383136,2136.9983069023024,8.262976760369073,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26646,26646,872.5,1568027482.844092,872.5,-87.1483256781917,590.5383008854668,111.48860406474442,613.9848874479302,0.9849332571029664,610.6657717361693,132.90013874113936,656.1774884963656,0.9570267200469972,626.1134687936018,79.54794763807683,659.303255021674,0.9516264200210572,597.167620222182,165.45595929403044,692.4573643303888,0.2921232283115387,599.5773263820769,25.004563620888828,676.7498433133193,0.5211896896362305,439.5556349452118,230.30283920403056,561.3850967336964,0.8794981241226196,467.94105515076063,-43.4452213901682,547.8439644214211,0.5534821152687073,549.1733914844403,265.40675699478663,349.1281840442066,0.7791911363601685,560.9102828572833,-151.7779135607255,331.8125606376127,0.5538197159767151,708.1106494220974,313.7940279787373,177.1490843247739,0.7061529755592346,765.599989443218,-163.50522993197202,192.346122498087,0.9436280727386476,407.52490512963936,175.32362387058552,159.7437565919073,0.46444979310035706,381.37742412279516,-24.91632862105259,117.06678669642108,0.8120590448379517,643.3160716914331,204.36076751593768,55.229040175583584,0.8177059888839722,825.4929985189644,-13.83552647328224,90.29460983821642,0.4162834584712982,315.88039020928704,250.7792304778841,-702.7224271074707,0.022999733686447144,426.7315036767369,-57.15550181197219,-597.4250095872331,0.035619884729385376,1762.79,1597.03,5.95,359.02,1761.06,820.44,7.8,180.37,1761.16,836.03,7.92,180.37,1761.26,851.07,7.91,180.37,1485.7,867.39,7.65,268.61,2640.0,859.72,8.14,166.8,2628.91,872.81,9.02,103.64,1760.63,1167.57,8.81,179.85,1760.58,1184.56,8.81,179.85,1760.54,1201.56,8.77,179.85,93.36,2136.92,8.28,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26647,26647,872.5327975430761,1568027482.8774207,872.5327975430761,-101.39878240032188,617.5988567186106,107.01061577390196,640.5729460888126,0.012273579835891724,603.31599351075,136.47118885378566,645.8592667417638,0.9490647912025452,635.5032791532071,76.39057970571757,659.7259479367333,0.8496664762496948,591.0954333235542,167.55611248678375,688.0927191593455,0.27895331382751465,599.5800609695947,27.944412670683032,674.0574940878503,0.5266687870025635,439.60551946450414,228.53057873462345,560.2231797884358,0.8754614591598511,466.4817800226944,-38.05521180970986,551.206775562604,0.98249351978302,552.8243069178012,266.0759327561287,349.13952382233424,0.7791095972061157,559.0464654348706,-150.11374837553925,334.052388236943,0.6025292873382568,712.9734742074072,316.36125366025163,179.64718529716413,0.7569851875305176,765.9843478337256,-161.8736588733741,186.3244756540026,0.9400675296783448,422.4121726417088,176.18178585731118,149.93057491052417,0.02019500732421875,389.8953545254993,-21.118820737831328,124.16793303900472,0.7118499875068665,655.6612629515064,209.6527891393151,40.990289366109685,0.5442127585411072,827.6022272645436,-12.301928572131988,89.26301779757911,0.3228249549865723,421.7763433518142,230.41414658390858,-589.1602303402808,0.01594117283821106,400.2211630207507,-62.69690790486654,-638.1894150271413,0.03702077269554138,1762.7867202456925,1597.2267852584555,5.959839262922785,359.0331190172304,1761.06,820.1841791640076,7.8,180.37,1761.16,835.7741791640076,7.8740834396936705,180.37,1761.26,850.8076196553923,7.919839262922785,180.37,1485.447458918315,867.3834404913847,7.666398771537977,268.61,2640.045916560306,859.4576196553923,8.156398771537976,167.2427668315253,2629.211737396299,872.6755300733887,8.987202456924049,104.51897415443548,1760.63,1167.2813816209316,8.806720245692404,179.85,1760.5832797543076,1184.268101866624,8.819839262922788,179.85,1760.54,1201.2713816209316,8.77,179.85,93.61910059030001,2136.847845405233,8.260321474154429,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26648,26648,872.5655704512183,1568027482.9107244,872.5655704512183,-78.26037445384895,578.2982270000425,117.64369694313574,595.9565120947861,0.9814715385437012,594.0975635406967,140.5499240941974,641.6737853389888,0.9679791927337646,636.3829095848864,87.17800286005381,652.3391597507198,0.938315451145172,585.0557995245914,170.12836794559115,682.6946635652348,0.2860456109046936,605.7231954443845,28.659714141964077,675.1970683361712,0.629254162311554,443.1783165699463,216.25049258217342,552.3508586146892,0.7833607196807861,472.5354835320698,-50.44183411370041,531.7457494203461,0.08287084102630615,540.9485818420657,269.76477435212445,354.2707000564355,0.9043147563934326,566.2451767568023,-149.0484265381926,336.88306827596244,0.6141788959503174,718.4080138610843,314.24888522658745,187.6425038119441,0.7484462857246399,748.7361945102788,-164.20760849347946,177.53061315502475,0.927412450313568,430.521289123628,176.8754672515997,142.83377913882444,0.04634782671928408,382.34095795432853,-23.019990355693874,119.10200718157549,0.7433226704597473,673.764333992965,207.3974158528757,33.702145813942735,0.6364302635192871,832.7851201902362,-15.340333028604373,91.93951227753323,0.5552667379379272,527.388832469898,217.7986984934665,-485.46482604976745,0.02148979902267456,390.03084003307237,-70.30720442398828,-648.8240091408748,0.05727750062942505,1762.7834429548782,1597.4234227073086,5.969671135365441,359.0462281804873,1761.06,819.9285504804985,7.8,180.37,1761.16,835.5185504804987,7.828201368294611,180.37,1761.26,850.545436390255,7.92967113536544,180.37,1485.1951075256204,867.3768859097563,7.682785225609067,268.61,2640.091798631705,859.1954363902548,8.172785225609069,167.68520109144484,2629.513248151207,872.5411611500057,8.954429548781865,105.39728809264601,1760.63,1166.9929800292805,8.803442954878188,179.85,1760.5865570451215,1183.9764229841587,8.829671135365441,179.85,1760.54,1200.9829800292805,8.77,179.85,93.87800656462328,2136.77574500732,8.24065772926912,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26649,26649,872.6,1568027482.9457116,872.6,-92.33221789509993,595.4435625273511,112.76028380710346,613.9564297199178,0.006218552589416504,585.4085859124377,138.10319138292462,636.4794659827708,0.97645765542984,625.265626953799,81.7813557631043,646.8409538514993,0.9777668118476868,587.3126833950151,167.69362577019731,677.7586850221812,0.29631268978118896,616.0684458510977,28.72243366102909,676.5787319089058,0.619246244430542,440.85371733280516,229.1747652531355,557.5446572162709,0.8470821380615234,457.0723142097242,-42.74595447276384,548.6788069118434,0.9783570766448976,549.5469638080698,267.2221797094891,351.5849840860565,0.4691885113716126,554.1988813507163,-151.61007379501928,331.11702436580447,0.6201399564743042,716.7953696037516,313.63744604688384,183.96393362399945,0.8951913118362427,752.1395394741991,-165.5896554132577,183.19978224309085,0.9213982820510864,425.4277168330236,174.22610822436818,134.2274022991612,0.06274190545082092,379.7667351832194,-27.58081484306225,120.92692459377457,0.7396990060806274,664.5297005319228,196.6444011812468,16.095177849692078,0.6697090268135071,832.3633172104262,-14.536011516875815,92.54973310360144,0.5183390974998474,547.8257644763106,218.4000624998177,-458.0895566514832,0.014640212059020996,473.2279012665915,-61.07827992838415,-555.3896360475417,0.015719085931777954,1762.78,1597.63,5.98,359.06,1761.06,819.66,7.8,180.37,1761.16,835.25,7.78,180.37,1761.26,850.27,7.94,180.37,1484.93,867.37,7.7,268.61,2640.14,858.92,8.19,168.15,2629.83,872.4,8.92,106.32,1760.63,1166.69,8.8,179.85,1760.59,1183.67,8.84,179.85,1760.54,1200.68,8.77,179.85,94.15,2136.7,8.22,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26650,26650,872.63258918242,1568027482.9782848,872.63258918242,-78.34856039048718,617.7958245802538,104.68119460070845,634.6549742211897,0.012000352144241331,590.0791310580178,137.01683340569173,637.9174183487024,0.9569050073623656,641.9221535996135,79.84368829011419,654.6340779987038,0.9415132999420166,585.9334724597842,164.74203438618747,674.4333684700897,0.2876887321472168,620.6387710178129,29.456456886351628,678.9975306016163,0.5825305581092834,440.4155174140377,228.12655577387383,558.4142981977482,0.8489426970481873,452.0816879196349,-40.014679184704036,549.4692260081144,0.98006671667099,556.4454755817428,263.9228712990544,360.8311801894007,0.2108389437198639,555.4943223740064,-153.02351346282214,330.99148061973165,0.6432691812515259,704.3020563981613,310.5124701257504,175.25714131616817,0.6933266520500183,748.8654862680289,-167.88185948307145,182.9568053247747,0.8444588184356691,395.5901939713326,170.36698626304008,148.82132035773012,0.6626963615417479,379.5836386229892,-35.51177793257736,120.49254356514251,0.7848892211914062,710.5178893190505,189.90838679323707,36.28798661073344,0.6378310322761536,844.6147832721632,-24.969955531621512,109.23106819101723,0.57418292760849,546.8573701380277,211.69429831723141,-451.0334510953462,0.010269582271575928,646.2833032120632,-43.547910995621386,-366.6773926439328,0.010388791561126707,1762.776741081758,1597.8255350945199,5.98,359.063258918242,1761.0567410817582,819.4025454588822,7.806517836483997,180.37,1761.1567410817581,834.995804377124,7.796294591209994,180.37,1761.256741081758,850.015804377124,7.897634062854014,180.37,1484.6823222136081,867.363482163516,7.667410817580009,268.61,2640.18888377363,858.6592865406401,8.203035672967996,168.5019631701359,2630.129820478264,872.2663843520779,8.929776754725996,107.19990792533972,1760.63,1166.399956276462,8.826071345935992,179.85,1760.59,1183.3832151947042,8.823705408790005,179.85,1760.54,1200.389956276462,8.799330264177993,179.85,94.40419562287592,2136.625044880434,8.197187572306008,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26651,26651,872.6660726340273,1568027483.011752,872.6660726340273,-88.2773893169487,630.8207121631402,98.90720835656131,648.4680741642651,0.02350473403930664,609.9569412413476,126.90938924832716,650.5270895733825,0.9648265838623048,637.5082881245422,72.11888252589642,654.4504855050002,0.9306871891021729,594.0793719322362,158.2086757041639,679.5168418013614,0.19383367896080012,626.7335552800216,29.857140995186892,682.3996344132779,0.23022279143333435,433.3679731349917,210.69569373297435,552.099063084539,0.8634263277053833,455.6260683339775,-39.927749753513886,550.060492643057,0.9817715883255004,558.6654735524494,261.1103011325108,358.48889074746114,0.7885564565658569,555.5780882019551,-154.692611596151,331.27984618002904,0.599443793296814,724.5674435447709,311.08260343034334,181.55475615114554,0.8672446608543396,747.8114124452911,-172.41099688299647,184.1139168364847,0.9194201827049256,381.04688176471086,167.91492786549102,147.12076846663192,0.6848835349082947,385.1280150631076,-36.501186531616995,122.64246486537864,0.784276008605957,727.4266971585141,197.9462537735207,36.39883915839019,0.7600183486938477,824.092634820022,-28.78432571239817,98.02869237933508,0.6256222128868103,538.0036890699487,198.24606175740192,-459.39615982905104,0.07293698191642761,483.0078169144213,-75.4177498958919,-540.905140429206,0.01344311237335205,1762.7733927365973,1598.0264358041627,5.98,359.0666072634027,1761.0533927365973,819.1380261911858,7.813214526805424,180.37,1761.1533927365977,834.7346334545883,7.8130363170135615,180.37,1761.2533927365973,849.7546334545883,7.85410557576474,180.37,1484.427847981394,867.3567854731946,7.633927365972879,268.61,2640.239108951041,858.3914189277831,8.216429053610849,168.8635844474929,2630.437868233049,872.1291022004888,8.939821790208137,108.10396111873229,1760.63,1166.1019535571586,8.852858107221698,179.85,1760.59,1183.0885608205613,8.806963682986439,179.85,1760.54,1200.0919535571586,8.829465370624408,179.85,94.66536654541157,2136.5480329417373,8.173749156181017,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26652,26652,872.7,1568027483.0456624,872.7,-78.61142564703931,622.7384091829236,94.58221176453331,639.6227353145653,0.007541120052337646,620.2574525980357,117.35044315395277,648.9907031599371,0.8591628670692444,633.4882242074119,65.78799469633913,649.1467146475543,0.9393138885498048,585.7309957709234,161.53720344590687,671.926540595432,0.24510934948921204,619.6305901539806,21.659883358856455,680.6590406072722,0.5121961832046509,438.9073722289869,206.1608390460224,558.3608317172603,0.8459101915359497,460.2318157108574,-43.41437318820857,551.6592238286994,0.9790322780609132,544.88595055356,260.62891358822964,360.9270344268392,0.6985689401626587,555.9202429193183,-155.2838434738401,330.66802921111884,0.6011085510253906,719.8285671140668,304.6780289305243,188.6463814615257,0.6975727081298828,739.0850154587939,-172.92862472427754,175.66051761887505,0.8607249259948729,374.934754224898,163.70806282640632,139.50498888139524,0.8073215484619141,396.6446938561209,-37.72084726297082,124.37280103405763,0.7884167432785034,728.6672010021747,194.5642418896278,34.31103123272345,0.7541900873184204,775.5788405300308,-36.84331428656125,67.20101064940698,0.4956867396831513,516.9011702065086,186.4821356176611,-490.09964417180646,0.1794402003288269,486.6561769761367,-85.65034956139543,-536.7851727630675,0.01150810718536377,1762.77,1598.23,5.98,359.07,1761.05,818.87,7.82,180.37,1761.15,834.47,7.83,180.37,1761.25,849.49,7.81,180.37,1484.17,867.35,7.6,268.61,2640.29,858.12,8.23,169.23,2630.75,871.99,8.95,109.02,1760.63,1165.8,8.88,179.85,1760.59,1182.79,8.79,179.85,1760.54,1199.79,8.86,179.85,94.93,2136.47,8.15,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26653,26653,872.7332519374976,1568027483.079103,872.7332519374976,,629.8372428761547,86.53252969005092,641.6808177375913,0.0012041032314300535,620.8261386202478,111.84572624459526,650.0274532289206,0.9110255241394044,649.8879576093321,63.79954055845232,662.4893890955847,0.9428451061248779,574.0410152266744,163.14336977658718,666.1697170283637,0.26808229088783264,613.0551686165147,13.962361526354027,679.3930358256861,0.3403938412666321,440.2696090485109,206.15121053972274,557.7446976888227,0.8729829788208008,461.6696083109198,-57.883418075735655,548.8996578579901,0.6779245138168335,558.3665202750159,266.389223256393,355.99508501652014,0.8021570444107056,558.7742299531119,-163.6362191254294,313.8680227093037,0.9754886627197266,722.061875311451,313.1005378179972,183.80835114221318,0.8911893367767334,746.465393228537,-172.24400700730115,175.98371888615486,0.9103355407714844,384.3206468954081,161.13207312246058,142.90020000721447,0.7954219579696655,392.3012904163663,-39.59285678241173,125.29052624345913,0.764870285987854,721.2437135536168,192.13600532447487,25.795575861929308,0.7295762300491333,718.636745432575,-39.25261474823439,30.99825213102406,0.6508277058601379,496.6562897016052,184.29711250301096,-513.7729756865358,0.06287699937820435,435.61008083153695,-97.7990093166338,-592.8513743887672,0.009137779474258423,1762.7666748062502,1598.4295116249848,5.976674806250255,359.07332519374967,1761.05,818.6139600812697,7.796723643751781,180.37,1761.15,834.2106348875199,7.8233496125005075,180.37,1761.25,849.2273096937703,7.83992674374771,180.37,1483.9139600812696,867.3433496125006,7.613300774998982,268.61,2640.339877906247,857.8506593062706,8.23,169.32310542499286,2631.0559178249764,871.8536670562604,8.946674806250254,109.91447711868156,1760.63,1165.5073829500225,8.863374031251274,179.85,1760.59,1182.4973829500225,8.816601549997962,179.85,1760.5433251937498,1199.4973829500225,8.846699225001018,179.85,95.19269030622992,2136.3968457375054,8.159975581249236,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
26654,26654,872.7665079052742,1568027483.1125474,872.7665079052742,,638.5536046015842,76.99857173850202,647.94818366045,0.0027285516262054443,640.5957057149984,100.37631008212759,657.7108363470983,0.9540131092071532,655.5475470571629,55.114130977819684,662.7827387921178,0.9280792474746704,578.4436775283292,156.79746031758944,664.7861927772931,0.4133541584014893,619.45429735154,13.191807516821045,677.7483880558018,0.2383596897125244,445.64139363954246,208.68533880295243,539.8953348260687,0.1764759123325348,458.0575029195176,-63.54955031026227,547.279558005148,0.6158646941184998,546.5342638109934,259.7933829730842,366.6752710016009,0.6441610455513,560.5366953743383,-162.07712752339398,320.25500341306525,0.9867411851882936,723.2719218643422,319.3675752472431,181.4605295573217,0.7578684687614441,746.7489637191202,-166.0708377030474,177.05567889649777,0.8679614067077637,393.8903444468808,163.27691185621114,125.55279109702265,0.20194551348686213,415.8435669845461,-34.631446550036195,125.95863934027399,0.12178108096122744,722.0726535431418,190.5238386742453,20.006211365071465,0.7450424432754517,710.8374907530936,-38.86372110872068,37.64302913653498,0.6299324631690979,484.8045512577616,185.41925317788397,-528.4810252796158,0.07743605971336365,383.8281251103054,-107.31236270506771,-649.3962008557804,0.01303088665008545,1762.7633492094724,1598.6290474316454,5.973349209472574,359.07665079052737,1761.05,818.3578891293882,7.773444466308023,180.37,1761.15,833.9512383388609,7.816698418945148,180.37,1761.25,848.9645875483334,7.8698571147468295,180.37,1483.6578891293884,867.3366984189453,7.626603162109702,268.61,2640.3897618579113,857.5812859672784,8.23,169.4162221347679,2631.3618727285234,871.7173175883755,8.943349209472574,110.8090626518774,1760.63,1165.2147304335865,8.846746047362874,179.85,1760.59,1182.2047304335865,8.843206324219402,179.85,1760.5466507905273,1199.2047304335865,8.833396837890298,179.85,95.4554124516666,2136.3236826083967,8.169952371582276,106.01,,,,,,,,,,,,,,,,,,,,,,,,,4a,3,1568026605
